报告期,单季收入,收入同比,收入环比,单季毛利率,单季归母净利润,归母同比,归母环比,扣非归母净利润,期间费用率,研发费用率,单位,口径,来源,证据等级
2024Q1,159501,6.34%,2.77%,53%,41889,62.12%,55.00%,50265,20.28%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润，不等同A股扣非；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2024Q1_hkex.pdf；reports/2024Q1_results.pdf",A
2024Q2,161117,7.98%,1.01%,53%,47630,81.99%,13.70%,57313,22.75%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2024Q2_hkex.pdf；reports/2024Q2_results.pdf",A
2024Q3,167193,8.13%,3.77%,53%,53230,47.12%,11.76%,59813,23.01%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2024Q3_hkex.pdf；reports/2024Q3_results.pdf",A
2024Q4,172446,11.12%,3.14%,53%,51324,89.91%,-3.58%,55312,24.18%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2024Q4_results.pdf；reports/2024_annual.pdf",A
2025Q1,180022,12.87%,4.39%,56%,47821,14.16%,-6.83%,61329,23.07%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2025Q1_hkex.pdf；reports/2025Q1_results.pdf",A
2025Q2,184504,14.52%,2.49%,57%,55628,16.79%,16.32%,63052,22.40%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2025Q2_hkex.pdf；reports/2025Q2_results.pdf",A
2025Q3,192869,15.36%,4.53%,56%,63133,18.60%,13.49%,70551,23.71%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2025Q3_hkex.pdf；reports/2025Q3_results.pdf",A
2025Q4,194371,12.72%,0.78%,56%,58260,13.52%,-7.72%,64694,25.35%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2025Q4_hkex.pdf；reports/2025Q4_results.pdf",A
2026Q1,196458,9.13%,1.07%,57%,58093,21.48%,-0.29%,67905,22.98%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2026Q1_hkex.pdf；reports/2026Q1_results.pdf",A
2026Q2,204785,10.99%,4.24%,58%,56022,0.71%,-3.57%,68415,24.75%,"未单列；研发主要并入管理费用",人民币百万元,"单季IFRS；“扣非”列采用公司Non-IFRS归母净利润；期间费用率=(销售及市场推广+一般及行政)/收入","reports/2026Q2_hkex.pdf；reports/2026Q2_results.pdf",A
