报告期,单季经营现金流,单季投资现金流,单季筹资现金流,单季资本开支,TTM经营现金流,TTM自由现金流,净利润现金含量,单位,口径,来源,证据等级
2024Q1,72350,-67924,-15511,14359,"未展示：需补2023Q2-Q4完整季度现金流","未展示：需补2023Q2-Q4公司口径FCF",172.72%,人民币百万元,"单季现金流；Q1取当季公告；资本开支为公司披露的新增口径；FCF为公司口径（经营现金流减资本开支支付、媒体内容支付和租赁负债支付）","reports/2024Q1_hkex.pdf；reports/2024Q1_results.pdf",A
2024Q2,54108,22475,-84270,8729,"未展示：需补2023Q3-Q4完整季度现金流","未展示：需补2023Q3-Q4公司口径FCF",113.60%,人民币百万元,"单季现金流由半年累计减Q1还原；资本开支为公司披露的新增口径；FCF为公司口径","reports/2024Q2_hkex.pdf；reports/2024Q2_results.pdf",A
2024Q3,78017,-33794,-51549,17094,"未展示：需补2023Q4完整季度现金流","未展示：需补2023Q4公司口径FCF",146.57%,人民币百万元,"单季现金流由九个月累计减半年累计还原；资本开支为公司披露的新增口径；FCF为公司口径","reports/2024Q3_hkex.pdf；reports/2024Q3_results.pdf",A
2024Q4,54046,-42944,-25164,36600,258521,155300,105.30%,人民币百万元,"单季现金流由全年减九个月累计还原；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2024_annual.pdf；reports/2024Q4_results.pdf",A
2025Q1,76889,-29499,24818,27500,263060,150500,160.79%,人民币百万元,"单季现金流取当季公告；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2025Q1_hkex.pdf；reports/2025Q1_results.pdf",A
2025Q2,74376,-42908,-54929,19100,283328,153100,133.70%,人民币百万元,"单季现金流由半年累计减Q1还原；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2025Q2_hkex.pdf；reports/2025Q2_results.pdf",A
2025Q3,85312,-75507,-30637,13000,290623,153100,135.14%,人民币百万元,"单季现金流由九个月累计减半年累计还原；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2025Q3_hkex.pdf；reports/2025Q3_results.pdf",A
2025Q4,66475,-57818,-26407,19600,303052,182600,114.10%,人民币百万元,"单季现金流由全年减九个月累计还原；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2025_annual.pdf；reports/2025Q4_results.pdf",A
2026Q1,101351,-10560,-12117,31900,327514,192200,174.46%,人民币百万元,"单季现金流取当季公告；资本开支为公司披露的新增口径；TTM FCF为四个季度公司口径之和","reports/2026Q1_hkex.pdf；reports/2026Q1_results.pdf",A
2026Q2,52710,-64164,2648,52784,281386,135200,94.09%,人民币百万元,"单季三类现金流由半年累计减Q1还原；新增资本开支为公司披露口径；Q2资本开支现金支付59300；单季公司口径FCF为-13800；TTM公司口径FCF约135200","reports/2026Q2_hkex.pdf；reports/2026Q2_results.pdf",A
