"技术方向","是否核心","客户任务/场景","行业评价问题","关键指标","指标定义/单位","为什么重要","测量方法/标准口径","好坏方向与权衡","标尺/基准对象","框架来源","来源等级","小白解释","争议/局限","分析补充/推断","数据日期"
"800G可插拔","是","AI集群scale-out连接","一个模块能搬多少数据","聚合传输速率","模块全部通道名义总速率；Gb/s","决定单端口带宽","同协议、FEC、形态和通道配置","越高越好；还要看功耗与误码","新易盛、Coherent同代产品","IEEE/MSA/产品页","A/B","一秒能搬多少数据","标称速率不等于有效吞吐","需与网络架构配套","2026-07-16"
"800G可插拔","是","AI集群scale-out连接","每条光通道跑多快","单光通道速率","每条光lane PAM4数据率；Gb/s/lane","通道更少可减少器件，但单通道难度更高","同电/光lane、baud率与FEC","更高通常更集成；信号完整性难度上升","新易盛、Coherent 8x100G/4x200G","IEEE 802.3df/产品页","A/B","总带宽由几条车道组成，每条多快","4x200G和8x100G不是完全同一产品","需要分代际比较","2026-07-16"
"800G可插拔","是","机柜间/数据中心连接","能传多远","传输距离","满足BER与链路预算的最大光纤距离；m/km","决定DR/FR/LR场景和模块数量","同光纤、连接器、FEC和温度","更远通常更难更贵，不能脱离场景","同DR4/DR8/FR4产品","IEEE/产品数据表","A/B","这根光链路能跑多远","DR与FR/LR不可混排","先按500m场景比较","2026-07-16"
"800G可插拔","是","高密度交换机端口","每端口耗多少电","模块最大功耗","全温度/电压范围最大功耗；W","功耗决定交换机散热和机柜电力","同形态、距离、DSP/线性方案和温度","越低越好；不能牺牲误码与可维护性","新易盛、Coherent同场景模块","已取得：产品数据表；待取得：客户验收","A/B为数据表；客户验收未取得","一个端口要吃多少瓦电","展示样机功耗不等于量产规格","需要当前量产型号数据","2026-07-16"
"800G可插拔","是","大规模AI网络采购","同样带宽要花多少钱","单位带宽采购成本","模块成交价除以有效聚合带宽；元或美元/Gb/s","客户按总拥有成本配置网络，低功耗但价格过高未必胜出","同客户、同距离、同采购量、同质保和同时间窗口","越低通常越好；必须同时满足可靠性、功耗和供货","同客户同代竞标价与全生命周期成本","分析推断；未取得具体客户招标、订单或成交价原文","C","买到每1Gbps带宽要花多少钱","公开零售价不等于大客户成交价；指标合理性不等于已取得客户规则","逐客户ASP、折扣和客户权重未公开","2026-07-16"
"800G可插拔","是","AI集群scale-out连接","数据能否可靠到达","预FEC误码率BER","FEC前错误bit/总bit；比例","误码影响重传、延迟和链路稳定","同测试码型、温度、接收功率和FEC","越低越好；标准阈值只是准入","同IEEE接口产品","已取得：IEEE标准；待取得：客户验收余量","A为标准；客户验收未取得","传一万亿个0和1会错多少","预FEC与后FEC不可混用","客户余量比刚达标更重要","2026-07-16"
"800G可插拔","是","AI集群scale-out连接","发射眼图质量有多少余量","TDECQ","PAM4发射机与色散眼图闭合度；dB","影响接收端链路预算和量产一致性","同IEEE PMD、温度和EOL条件","通常越低越好；要与OMA/灵敏度一起看","Coherent公开数据表及同标准产品","IEEE 802.3/数据表","A/B","光信号有多难被接收端看清","单一TDECQ不能代表整链路","公司未公开当前值","2026-07-16"
"800G可插拔","是","数据中心全年运行","环境变化下能否稳定","工作温度范围","保证规格的模块外壳温度；摄氏度","高密度机箱热环境会影响可靠性","同模块case温度和是否降额","范围更宽通常更好；散热成本更高","新易盛、Coherent产品","产品数据表","A/B","机箱热了以后还能不能正常工作","展示温区不代表长期失效率","还需现场故障率","2026-07-16"
"800G可插拔","是","多供应商网络部署","能否互联互通","标准与管理兼容","IEEE/MSA/CMIS版本与互操作测试；版本/通过","客户需要多供应商和可管理性","同标准版本、交换机固件与互操作实验","覆盖广更好；写符合标准不等于互操作通过","新易盛、Coherent同类产品","IEEE/OSFP MSA/CMIS","A/B","插到客户交换机上能否识别并稳定工作","纸面合规与客户认证不同","客户互操作证据权重更高","2026-07-16"
"1.6T可插拔","是","下一代AI网络","一个模块能搬多少数据","聚合传输速率","模块名义总速率；Tb/s","决定下一代端口带宽","同协议、FEC、形态和通道","越高越好；功耗与散热难度同步上升","新易盛、Coherent 1.6T OSFP","IEEE 802.3df/dj与MSA","A/B","一秒约搬1.6万亿bit","产品存在不等于量产规模","需客户采用与收入验证","2026-07-16"
"1.6T可插拔","是","下一代AI网络","200G/lane是否成熟","单光通道速率","每条光lane 200G PAM4；Gb/s/lane","是1.6T用8通道实现的关键","同电/光接口、FEC和距离","更高集成但器件与封装难度更大","新易盛、Coherent 8x200G","IEEE/产品页","A/B","八条200G车道合成1.6T","样机、送样和量产不可混用","当前产品页证明产品，不证明良率","2026-07-16"
"1.6T可插拔","是","500m数据中心连接","能传多远","传输距离","达到标准的最大SMF距离；m","决定能否覆盖典型DR场景","同DR8、光纤、FEC和连接器","达到客户场景即可；更远会增成本","新易盛、Coherent 1.6T DR8","IEEE/产品页","A/B","是否能跨过数据中心里需要的距离","2km原型与500m量产页不可混为同型号","本轮以500m产品页比较","2026-07-16"
"1.6T可插拔","是","高密度交换机端口","每端口耗多少电","模块最大功耗","全温最大功耗；W","1.6T功耗决定可插拔路线还能走多远","同形态、距离、DSP节点与温度","越低越好；需保证BER和可靠性","新易盛、Coherent同代产品","已取得：原型或产品资料；待取得：当前SKU数据表与客户验收","B/C；当前SKU与客户验收未取得","1.6T端口会不会把交换机烤热","2023原型值不能自动代表2026量产","需当前SKU数据表","2026-07-16"
"1.6T可插拔","是","下一代AI网络","数据能否可靠到达","预FEC误码率BER","FEC前错误bit/总bit；比例","200G/lane信号余量更紧，误码会增加重传、延迟和掉链风险","同测试码型、温度、接收功率、FEC和老化阶段","越低越好；只达到标准门槛不代表有客户余量","同IEEE接口和同距离1.6T产品","已取得：IEEE标准；待取得：客户验收余量","A为标准；客户验收未取得","1.6T高速信号在纠错前会错多少","发布产品不等于公开了误码余量","客户数据表未公开","2026-07-16"
"1.6T可插拔","是","下一代AI网络","发射眼图质量有多少余量","TDECQ","PAM4发射机与色散眼图闭合度；dB","决定200G/lane发射质量和接收链路预算","同PMD、温度、距离、EOL和测试设备","通常越低越好；需与OMA、灵敏度和BER一起看","同距离1.6T DR8产品","已取得：IEEE标准和部分产品资料；待取得：同SKU数据表与客户验收","A/B为标准和已取得产品资料；客户验收未取得","接收端看清1.6T光信号有多难","单一TDECQ不能代表整链路可靠性","公司和竞对同SKU公开值不足","2026-07-16"
"1.6T可插拔","是","下一代AI网络长期运行","部署后是否稳定","1.6T现场失效率/MTBF","同代1.6T模块每百万器件小时失效或平均无故障小时；FIT/小时","新品早期失效会造成昂贵集群端口停机并影响复购","同SKU、运行小时、温度、故障定义和客户场景","FIT越低、MTBF越高越好；样本太小会失真","同客户同代1.6T产品","可靠性工程通用定义与分析推断；未取得客户SLA/质保/RMA原文","C","1.6T卖出去后多久坏一次","实验室可靠性和总体模块售后不能替代1.6T现场值；未证明客户实际权重","公开运行小时、故障数和客户验收门槛不足","2026-07-16"
"1.6T可插拔","是","大规模AI网络采购","带宽翻倍后单位成本是否下降","单位带宽采购成本","模块成交价除以有效聚合带宽；元或美元/Gb/s","只有每bit成本下降且可靠性达标，客户才有动力从800G迁移","同客户、同距离、同采购量、同质保和同时间窗口","越低通常越好；新品早期可能以高价换密度和功耗","800G与1.6T同项目竞标价、同代竞对","分析推断；未取得具体客户招标、订单或成交价原文","C","从800G换到1.6T后每1Gbps是否更便宜","目录价、渠道价和大客户ASP差异大；未证明客户实际权重","客户成交价、折扣与TCO未公开","2026-07-16"
"1.6T可插拔","是","下一代AI网络","热环境下能否稳定","工作温度范围","保证规格的case温度；摄氏度","决定高密度部署余量","同case温度和散热器形态","更宽更好；需看功耗与寿命","新易盛、Coherent产品页","产品页","A/B","机箱热时还能否跑满","IHS/RHS形态影响散热","需同形态比较","2026-07-16"
