技术方向,工作负载/场景,比较指标,目标公司方案/数值,国内标杆方案/数值,全球标杆方案/数值,单位,相对差距（数值/范围）,比较层级,比较口径/软件版本/系统规模,验证性质,分项水位,置信度,数据日期,来源,证据等级,已知结论,缺失字段/无法判断项,投资含义,下一步核验方式,结论改变条件
发现化学,候选物合成,周期/成功率/R转D,44万化合物；H1 R转D155,未同口径披露,未同口径披露,项目,无法数值比较,代理比较,绝对规模和转化,公司生产数据,无法判断,中,2026-06-30,2026H1,A,规模和转化强,周期成功率分母,不能认定参数领先,客户验收周期和竞对R转D,同口径显著优于竞对
工艺开发,临床到商业放大,收率/步骤/杂质/放大成功,95商业+94三期；工艺参数未披露,凯莱英未同分子披露,Lonza未同分子披露,%/步骤/ppm,无法精确,代理比较,不同分子和规模,商业项目代理,无法判断,中,2026-06-30,2026H1,A/B,达到商业放大可用门槛,同分子收率杂质与放大成功率,支持能力成熟但非相对排名,客户技术转移和批次数据,获得同口径参数后才可排序
一体化协同,R到D&M,R转D/留存/交叉销售,2025 R转D 310；H1 155；漏斗3731；留存未知,多数未披露,多数未披露,项目/%,无法排名,代理比较,平台业务口径,公司经营数据,无法判断,中低,2026-06-30,2025年报/2026H1,A/C,绝对漏斗和商业结果强,留存率、R项目分母和同行转化率,支持优势假设，不证明领先,跟踪留存、分母和竞对漏斗,同口径显著优于竞对才可上调
GMP生产,商业供货,RFT/OOS/OTIF/检查,741次审计无重大缺陷；两站FDA无观察；RFT/OOS/OTIF未知,未统一披露,未统一披露,%/事件,无法排名,代理比较,审计范围不同,公司披露/监管代理,无法判断,中,2025-12-31,可持续报告/FDA披露,B,达到商业供货和监管门槛,RFT/OOS/OTIF、全部偏差和召回分母,降低采购风险但不证明相对优势,FDA/EMA数据库、客户审计和交付指标,获得同口径质量和交付数据后才可排序
TIDES,复杂分子商业化,链长/纯度/收率/规模,2025收入113.7亿；H1客户+39%；技术参数未披露,未同口径披露,Bachem等未同分子披露,分模态定义,技术参数未知,代理比较,平台业务合计,公司经营数据,无法判断,中低,2026-06-30,2025年报/2026H1,A,商业规模和动量强,分模态参数、报价、OTIF和复购,只支持平台优势假设,分模态招标和批次成功,多肽/核酸/偶联分项参数及复购出现后重评
TIDES-多肽,复杂多肽商业化,肽链长/纯度/收率/杂质/规模/OTIF,TIDES合计增长；多肽单项参数未披露,未同口径披露,Bachem未同序列披露,aa/%/杂质谱/批量/%,无法比较,代理比较,同肽序列要求未满足,合计经营代理,无法判断,低,2026-06-30,2025年报/2026H1,A/C,有商业能力,同肽序列参数、报价和OTIF,不能认定多肽技术领先,客户招标、批次放行和复购,纯度收率OTIF及报价同口径显著占优才上调
TIDES-寡核苷酸,复杂寡核苷酸商业化,核酸长度/纯度/收率/杂质/规模/OTIF,TIDES合计增长；核酸单项参数未披露,未同口径披露,Bachem/Corden未同序列披露,nt/%/杂质谱/批量/%,无法比较,代理比较,同核酸序列要求未满足,合计经营代理,无法判断,低,2026-06-30,2025年报/2026H1,A/C,有商业能力,同序列修饰参数、报价和OTIF,不能认定核酸技术领先,客户招标、批次放行和复购,纯度收率OTIF及报价同口径显著占优才上调
TIDES-复杂偶联,复杂偶联物商业化,偶联位点/载荷分布/游离组分/纯度/收率/规模,平台能力披露；偶联单项商业批次和参数未知,未同口径披露,竞对未同一偶联物披露,位点/分布/%/批量,无法比较,代理比较,同载荷连接子和位点要求未满足,公司技术描述,无法判断,低,2026-06-30,2026H1技术描述,B/C,有能力方向,均一性、杂质、放行批次、报价和复购,不能认定偶联技术领先,客户验收和商业批次,同口径放行参数和复购显著占优才上调
DMPK生物分析,候选筛选和剂量支持,周期/重做率/方法验证/补件,自动化；新模式收入>35%；关键指标未披露,康龙未同口径,Charles River未同口径,天/%/事件,无法比较,代理比较,业务范围不同,公司经营代理,无法判断,低,2026-06-30,2026H1,A/C,商业化成立,周期、重做率、方法验证和补件,不能以收入判断技术水位,监管接受、客户验收与同行数据,获得同口径指标后才可排序
非临床毒理,IND安全评价,周期/重做率/GLP检查/补件,通过MFDS/PMDA检查；周期重做补件未知,昭衍未同口径,Charles River未同口径,天/%/事件,无法比较,代理比较,试验设计和物种不同,监管检查代理,无法判断,低,2026-06-30,2026H1/竞对业绩,A/B,达到GLP合规门槛,周期、重做率、补件和同行分母,检查不证明相对技术水位,补件率、按时率和客户验收,获得同口径指标后才可排序
信息安全,客户数据保护,重大审计/ISO覆盖/事故,20主站点ISO27001；21次审计无重大缺陷；事故未知,未统一披露,未统一披露,站点/事件,无法排名,代理比较,站点范围不同,公司披露,无法判断,中,2026-06-30,2026H1,A,达到部分客户合规要求,第三方事故和竞对范围,是采购门槛，不证明优势,第三方安全审计和事故数据库,同口径事故与覆盖显著优于竞对
供应韧性,持续商业供货,中断/恢复时间/OTIF/地区冗余,全球扩产；中断恢复与OTIF未披露,未统一披露,未统一披露,事件/天/%/站点,无法排名,代理比较,产品和网络不同,站点数量代理,无法判断,低,2026-06-30,2026H1,A/C,有冗余建设,中断、恢复时间、OTIF和跨站点切换,不能把建厂等同韧性,客户交付与业务连续性数据,验证跨站点无中断转移后才可上调
AI/自动化,候选发现和生物分析,周期/成功率/人效/客户付费,仅披露自动化工作流，未给独立改善数值,未同口径披露,未同口径披露,天/%/人效/收入,无法比较,代理比较,不同数据和任务,公司技术描述,无法判断,低,2026-06-30,2026H1技术描述,B/C,有部署但未证明相对水位,客户生产验证和付费贡献,不能给AI估值溢价,前后对照、客户验收和复购,若未改变采购则不构成优势
