"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"GPU架构","N-1/历史","曲院第三代架构","2025年报列示历史研发项目","研发项目已完成并进入历史云端产品","数据中心训练和推理","第三代MUSA架构迭代","架构不适用良率；对应芯片量产和良率未在本表确认","无架构级客户验收；产品部署为公司口径","云端汇总收入不能归因到架构","核验对应产品、维护状态和客户复购","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"GPU架构","当前","平湖第四代架构","公开旗舰使用；年报项目持续推进","用于PH100/S5000等公开产品；部分项目仍在研","数据中心训推一体、HPC和媒体","第四代MUSA架构","架构不适用良率；对应芯片数量和良率未披露","S5000公司自测/部署；缺具名客户独立复验","云端产品组合收入不能归因到架构","补当前产品级收入、客户验收和真实工作负载","2026-07-15","reports/2025_annual.pdf; https://www.mthreads.com/product/S5000","A+B中的公司口径"
"GPU架构","N+1","花港第五代架构","2025-12","架构已发布；对应量产芯片未披露","下一代AI与图形","公司称覆盖FP4-FP64并提高算力密度/效能","架构不适用良率；对应芯片量产未知","无客户验证","无收入","华山/庐山流片、规格、软件、认证、量产和客户","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"数据中心芯片","N-1/历史","对应S3000/S4000的芯片型号未在本次底稿确认","历史公开产品期","存在历史数据中心板卡，但不能由板卡名补造芯片名","训练、推理和云电脑","历史云端芯片路线","量产数量和良率未披露","公司称有部署；缺芯片级验收","芯片级收入未披露","核验芯片型号、架构映射、维护和客户复购","2026-07-15","reports/2025_annual.pdf","A中的公司口径；受控未知"
"数据中心芯片","当前","PH100（当前公开代际；实际销售主力未知）","S5000产品页和2026-05监管公告可核验","S5000搭载芯片；获安全可靠I级测评；实际主销芯片未披露","大模型训练/推理、HPC和媒体","平湖架构；芯片级完整规格未单列","量产数量和良率未披露","安全可靠测评不等于客户长周期生产验证","芯片级收入未披露，不能确认销售主力","良率、产能、客户任务、验收、型号收入和主销SKU","2026-07-15","https://www.mthreads.com/product/S5000; https://www.itsec.gov.cn/aqkkcp/cpgg/202605/t20260526_259396.html; reports/2025_annual.pdf","A+B"
"数据中心芯片","N+1","华山芯片","2025年报披露","在研","高性能训推一体","计划基于花港架构产品化","未披露流片、量产或良率","未披露客户测试","无收入","流片、冻结规格、软件、认证、量产、客户和收入","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"图形与AI芯片","N-1/历史","无法确认独立历史芯片型号","截至2026-07-15未取得同形态型号","历史消费板卡不能自动等于该下一代复合芯片路线的N-1","复杂图形渲染与AI","无法确认","无量产/良率证据","无客户验证证据","无收入证据","历史型号或明确说明此前无独立同形态产品","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"图形与AI芯片","当前","无法确认当前独立芯片型号","截至2026-07-15未取得正式产品","未取得与庐山同形态的当前独立产品证据","复杂图形渲染与AI","无法确认","无量产/良率证据","无客户验证证据","无收入证据","当前型号、产品页、客户和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"图形与AI芯片","N+1","庐山芯片","2025年报披露","在研","复杂图形渲染兼大模型推理","计划基于花港架构产品化","未披露流片、量产或良率","未披露客户测试","无收入","流片、冻结规格、软件、认证、量产、客户和收入","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"数据中心推理芯片","N-1/历史","无法确认独立历史推理芯片","截至2026-07-15未取得同形态型号","历史训推产品不能代替独立推理路线的上一代","数据中心推理","无法确认","无量产/良率证据","无客户验证证据","无收入证据","历史型号或明确说明此前没有独立产品","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"数据中心推理芯片","当前","无法确认当前独立推理芯片","截至2026-07-15未取得正式型号","当前PH100为训推/HPC平台，不能自动当作独立推理芯片同形态当前代","数据中心推理","无法确认","无量产/良率证据","无客户验证证据","无收入证据","当前型号、规格、客户和收入","2026-07-15","reports/2025_annual.pdf; https://www.mthreads.com/product/S5000","A+B；受控未知"
"数据中心推理芯片","N+1","新一代推理芯片","2025年报披露","在研","数据中心推理","高性价比推理路线；冻结规格未披露","未披露流片、量产或良率","未披露客户测试","无收入","流片、冻结规格、软件、认证、量产、客户和收入","2026-07-15","reports/2025_annual.pdf","A中的公司规划"
"边缘SoC","N-1/历史","无法确认长江M1000之前的同形态SoC","截至2026-07-15未取得型号","未取得同形态历史产品证据","边缘AI和个人AI","无法确认","无量产/良率证据","无客户验证证据","无收入证据","历史型号、维护和客户","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"边缘SoC","当前","长江M1000","年报列示项目和终端搭载口径","芯片研发项目仍在研；已有终端产品搭载口径","边缘AI和个人AI","CPU+GPU+NPU+VPU异构集成","量产数量和良率未披露","公司产品应用自述；缺规模客户","芯片级收入未披露","量产、良率、客户、销量、毛利和复购","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"边缘SoC","N+1","无法确认下一代边缘SoC","截至2026-07-15未取得路线图","未取得正式型号或研发节点","边缘AI和个人AI","无法确认","无量产/良率证据","无客户验证证据","无收入证据","正式路线图、型号、样品、客户和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"消费板卡","N-1/历史","S70；相对S80的代际顺序仅作产品名称线索","历史公开产品","产品存在；发布时间、维护和销量需进一步核验","消费图形","Windows和图形API支持","销量和良率未披露","公司销售口径；无独立兼容/复购","产品收入未拆分","核验发布时间、维护、销量、兼容和复购","2026-07-15","reports/2025_annual.pdf","A中的公司自述；代际低置信"
"消费板卡","当前","S80；实际销售主力未知","公开产品；年报未完整列发布时间","产品存在并有公司销售口径，不能确认2026销售主力","消费图形","DirectX 11/12、Vulkan及多平台驱动支持","销量和良率未披露","公司称市场销售；无独立应用兼容/复购","产品收入未拆分","CTS/兼容、标准/游戏结果、销量、毛利和复购","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"消费板卡","N+1","无法确认下一代消费板卡","截至2026-07-15未取得正式型号","花港/庐山路线不能自动推出板卡已发布","消费图形和AI","无法确认","无量产/良率证据","无客户验证证据","无收入证据","正式型号、规格、驱动、量产、销量和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
"数据中心板卡","N-1/历史","S3000/S4000","年报列为历史/现有云端产品","历史公开板卡","训练、推理和云电脑","具体架构映射未逐项确认","量产数量和良率未披露","公司称有部署；无独立同负载验证","产品级收入未披露","型号收入、维护、客户验收和复购","2026-07-15","reports/2025_annual.pdf","A中的公司自述"
"数据中心板卡","当前","S5000（公开旗舰；实际销售主力未知）","截至2026-07-15核验产品页","公开旗舰；规模、良率和主销SKU未知","大模型训练/推理、HPC和媒体","80GB、1.6TB/s、稠密低精度1000TFLOPS、AI Link及公司自测","公司称大规模落地；数量/良率未披露","公司部署/自测；缺具名客户独立复验","2025云端组合收入14.61亿元；产品级收入未披露，不能确认销售主力","型号收入、主销SKU、回款、复购、同负载独立性能和良率","2026-07-15","https://www.mthreads.com/product/S5000; reports/2025_annual.pdf","A+B中的公司口径"
"数据中心板卡","N+1","无法确认下一代数据中心板卡","截至2026-07-15未取得正式型号","华山芯片在研不等于板卡已经发布","大模型训练、推理和HPC","无法确认板卡容量、互联和功耗","无量产/良率证据","无客户验证证据","无收入证据","芯片流片后还需板卡型号、规格、量产、客户和收入","2026-07-15","reports/2025_annual.pdf","A；受控未知"
