技术方向,工作负载/场景,比较指标,目标公司方案/数值,国内标杆方案/数值,全球标杆方案/数值,单位,相对差距（数值/范围）,比较层级,比较口径/软件版本/系统规模,验证性质,分项水位,置信度,数据日期,来源,证据等级,已知结论,缺失字段/无法判断项,投资含义,下一步核验方式,结论改变条件
社交分发与交易闭环,中国移动社交入口,月活跃用户数,微信/WeChat MAU 14.39 亿,快手 MAU 7.40 亿但用途不同,Meta 应用族 DAP 约 35.8 亿且地区/产品族不同,亿用户,不可计算同口径差距,代理比较,腾讯 2026Q2 单应用族 MAU 对不同用途及地区平台,公司和同业运营数据,无法判断,中,2026-08-18,腾讯 2026Q2 公告；快手和 Meta 2025 财报,A/B,微信绝对用户规模巨大并在中国形成广泛入口,同用途同地区同活跃定义的竞对数据,支持平台规模判断但不支持技术水位领先,获取第三方同口径用户面板,若同口径中国社交应用规模显著落后则下调平台位置
社交分发与交易闭环,中国移动社交入口,使用时长与留存,公司未披露同口径时长与留存,未取得同口径值,未取得同口径值,分钟和%,无法计算,代理比较,要求同地区同年龄同设备第三方面板,公开缺失记录,无法判断,低,2026-08-18,腾讯公告及待取得的第三方面板,A/C,MAU 稳定但无法知道使用深度,人均时长/次月留存及竞对同口径值,这是关系链耐久性关键缺口,获取 QuestMobile 等同口径面板并核验方法,若时长和留存连续显著弱于竞对则优势降级
社交分发与交易闭环,微信内容到小程序/支付闭环,跨服务交易转化率,公司未披露,未取得同口径值,未取得同口径值,%,无法计算,代理比较,同入口同归因窗口的内容到支付漏斗,公开缺失记录,无法判断,低,2026-08-18,腾讯年报和季度公告,A,微信具备内容/小程序/支付功能但转化未知,曝光到支付各环节转化/故障率/商户复购,不能据分部收入归因闭环相对优势,公司披露或商户样本漏斗 A/B,若同口径转化和商户留存高于替代平台则可上调
广告推荐与度量,微信广告自动投放,自动化投放支出渗透率,AIM+ 约占 2026Q1 广告主支出 30%,竞对未披露同口径,Meta 未披露同口径,%,无法计算竞对差距,代理比较,腾讯平台内支出渗透率且不与账户渗透混用,公司运营数据,无法判断,中,2026-08-18,腾讯 2026Q1 公告,A,AIM+ 已达到规模采用,竞对同口径渗透及是否由补贴/强制迁移驱动,只能证明采用不能证明相对技术水位,跟踪渗透及竞对同口径披露,若渗透提高且 ROI/预算留存同步改善则商业证据增强
广告推荐与度量,微信广告自动投放,广告主ROI和预算留存,公司未披露全平台同口径值,未取得同口径值,未取得同口径值,倍数和%,无法计算,代理比较,同库存同人群同归因窗口增量 A/B 及次期预算,公司案例与公开缺失记录,无法判断,低,2026-08-18,腾讯广告案例和 2026Q1/Q2 公告,A/B,部分案例 CTR 改善且营销收入增长但 ROI/留存未知,全平台增量 ROI/预算留存及竞对同口径,这是竞争优势是否改变采购的核心缺口,获取广告代理商样本和公司 A/B,若 ROI 与预算留存持续优于替代平台则可上调
广告推荐与度量,微信广告自动投放,CTR/CVR/eCPM与用户体验,部分库存公司案例 CTR 约 3% 对历史约 1%,未取得同库存值,未取得同库存值,比例,仅有腾讯历史个案差约 2 个百分点,代理比较,公司指定库存案例且非全平台,公司案例,无法判断,低,2026-08-18,Tencent 广告案例网页,B,案例说明技术可能有效但不能外推全平台,全平台 CTR/CVR/eCPM/加载率/时长及竞对值,不得将个案写成相对领先,保存案例快照并获取同库存独立测试,若全平台效果提升且时长不降则证据增强
游戏研发与长线运营,全球游戏组合长线运营,长青产品数量与流水寿命,2024 年长青游戏 14 款；2025 游戏收入约 2415 亿元,竞对未按腾讯长青门槛披露,Newzoo 2025 商业收入榜腾讯居首但口径不同,款/年/人民币,不可计算技术差距,代理比较,腾讯公司长青定义与第三方商业规模分开,公司财报与第三方商业排名,无法判断,中,2026-08-18,腾讯 2024/2025 年报；Newzoo 排名,A/B,组合商业规模和多款跨年运营已验证,竞对同门槛长青数量及单款流水寿命,支持商业耐久代理不支持技术水位领先,按统一 DAU/流水门槛收集竞对产品,若腾讯长青数量和寿命持续显著更高才可上调
游戏研发与长线运营,新品研发和上线,新游命中率与90/180天留存,公司未披露完整项目队列,未取得同口径值,未取得同口径值,%,无法计算,代理比较,按全部立项/上线队列统一成功门槛,公开缺失记录,无法判断,低,2026-08-18,腾讯年报和季度公告,A,新老游戏推动 2025 收入增长但失败项目未知,完整项目数/研发投入/90和180天留存/流水门槛,不能用总收入替代重复创新能力,跟踪重点新品并建立统一 cohort,若连续多个周期命中率高于竞对则上调
游戏研发与长线运营,全球发行和实时运营,更新频率/稳定性与地区覆盖,公司披露国际游戏收入增长但组合级工程指标未披露,未取得同口径值,未取得同口径值,次数/%/市场数,无法计算,代理比较,同款产品同地区的更新后留存和故障率,公开缺失记录,无法判断,低,2026-08-18,腾讯季度公告,A,国际收入增长证明商业扩张而非工程领先,更新效果/故障率/覆盖市场/本地化成本,全球运营水位仍未知,使用产品状态页和更新后留存样本,若多地区稳定性和更新留存优于标杆则上调
支付与金融风控,微信支付交易,支付金额/笔数与活跃商户,公司仅称 2026Q1 商业支付量增速加快,支付宝等无完全同口径公开值,国际支付边界不同,金额/笔数/商户,无法计算,代理比较,同地区同业务边界季度数据,公司定性披露,无法判断,低,2026-08-18,腾讯 2026Q1 公告,A,支付规模化运行且近期趋势改善,TPV/笔数/活跃商户/商户复购,不能据入口规模精确排位,等待公司/监管统计或商户样本,若规模和商户留存相对行业持续更强则上调
支付与金融风控,微信支付交易,成功率与欺诈损失率,公司未披露,未取得同口径值,未取得同口径值,%,无法计算,代理比较,同支付场景同风险定义,公开缺失记录,无法判断,低,2026-08-18,腾讯年报和公告,A,长期运营只证明系统可用不证明相对风控水位,成功率/拒绝率/欺诈净损失率/重大事故,不得写风控领先,监管统计和商户支付样本,若成功率高且损失低于竞对才可上调
云基础设施与 AI 平台,中国企业云基础设施,中国云基础设施市场份额,Omdia 2025Q3 约 9% 排第三,阿里约 36%/华为约 16%,全球云口径与中国不同,%,商业份额落后阿里约 27 个百分点及华为约 7 个百分点,代理比较,Omdia 同季度中国基础设施市场,独立商业份额代理,无法判断,中高,2026-08-18,Omdia 2025Q3 中国云基础设施,B,腾讯商业份额国内第三且明显落后头部,份额不能说明同负载性能和成本,证明商业位置而非技术水位,保存 Omdia 快照并持续跟踪同口径份额,若份额提升只说明采用改善仍需 SLA/TCO 证据
云基础设施与 AI 平台,企业运行同一云负载,SLA与单位负载TCO,公司未给跨云同负载实测,各厂商仅有产品 SLA,各厂商仅有产品 SLA,%和人民币,无法计算,代理比较,同区域实例软件版本规模与利用率,公开规格缺失记录,无法判断,低,2026-08-18,腾讯云及竞对公开 SLA 页面,A/B,存在产品级承诺但没有实际同负载总成本,故障率/迁移工时/真实账单/折扣后 TCO,技术和成本水位未知,设计同负载第三方压测与客户账单核验,若腾讯在同 SLA 下 TCO 持续更低则上调
云基础设施与 AI 平台,企业部署 AI 和持续续费,AI算力可得量与客户净留存,公司未披露；Omdia 指先进算力可得性受约束,未取得同口径值,未取得同口径值,算力和%,无法计算,代理比较,同 GPU 同地区可售量及同 cohort 净留存,第三方评论与公开缺失记录,无法判断,低,2026-08-18,Omdia 2025Q3；腾讯 2025 年报,A/B,公司称云盈利且企业服务增长但算力和续费未知,可售算力/利用率/客户净留存/独立云利润,云优势证据尚未闭环,跟踪 Omdia 供给和公司分部披露,若算力供给与净留存改善且独立盈利扩大则上调
基础模型与智能体,企业编码和复杂工具调用,独立任务成功率,公司仅披露内部 WorkBuddy 未定义 success rate 高于 99.99%，且称 Hy3 在 OpenRouter token 使用量居前三,未取得同版本盲测,未取得同版本盲测,%,无法计算,代理比较,Hy3 正式版与同版本模型在相同工具环境盲测,公司自测与第三方平台使用量代理,无法判断,低,2026-08-18,腾讯 Hy3 官方资料；腾讯 2026Q2 业绩材料（公司引用 OpenRouter）,A/B,Hy3 可支撑公司内部指定生产场景,独立任务集/失败定义/竞对同环境值/付费期/免费期/路由补贴/用户集中度/外部客户结果,不能由公司自测推出工程领先,运行统一 Agent 任务盲测,若同版本同任务盲测成功任务成本低于两个具名替代方才上调
基础模型与智能体,企业编码和复杂工具调用,TTFT/端到端时延与每任务成本,公司称相对 Hy2 TTFT -54%/端到端 -47%；TokenHub 有单价,竞对版本和硬件不同,竞对版本和硬件不同,比例/秒/人民币,只能确认自身代际改善,代理比较,Hy3 Preview/正式版需分开且同硬件并发输入输出长度,公司自测和价格表,无法判断,低,2026-08-18,腾讯 Hy3 Preview 与正式发布,A,自身代际效率改善且有公开调用价格,同硬件成功任务成本/正式版延迟/竞对价格与质量,无法判断相对性价比,统一压测成功任务成本,若同质量同成功率成本显著更低则上调
基础模型与智能体,企业长流程和工具调用,工具调用成功率与生产净留存,公司称支持 495 步工作流且 WorkBuddy 留存健康,未取得同口径值,未取得同口径值,步骤/%,"495 步是能力展示而非竞对差距",代理比较,公司内部环境且净留存口径未披露,公司自测和定性运营数据,无法判断,低,2026-08-18,腾讯 Hy3 官方资料和 2026Q2 业绩材料,A,产品已接入真实工作流但付费复购未知,工具错误率/权限事故/外部 DAU/付费率/净留存,Agent 竞争优势正在验证,要求产品披露或客户样本跟踪,若付费 cohort 12 个月净留存不低于 100%且权限事故率有可审计基准才上调
三维与多模态生成,游戏和电商 3D 资产生产,几何/纹理质量与可编辑率,公司论文报告模型结果但版本和数据集自选,竞对论文数据集不同,竞对论文数据集不同,质量分和%,无法计算,代理比较,统一提示硬件资产规范和盲评者,公司作者论文,无法判断,低,2026-08-18,Hunyuan3D 2.0/2.5 论文,B,证明研发和开源能力不证明相对生产水位,独立盲评/可编辑率/返工率/竞对同版本,暂不构成竞争优势证据,组织独立制作团队盲测,若生产可编辑率和质量显著高于竞对则上调
三维与多模态生成,游戏和电商 3D 资产生产,生产采用率与制作工时节省,公司未披露,未取得同口径值,未取得同口径值,%和小时,无法计算,代理比较,同一商业项目人工基线和模型辅助后工时,公开缺失记录,无法判断,低,2026-08-18,腾讯产品资料和年报,A/B,尚无可归因商业采用和降本数据,项目数/采用率/工时/返工/收入,只保留可选上行,跟踪腾讯商业游戏署名和云调用,若多款项目采用并量化降本才上调
