"技术方向","工作负载/场景","比较指标","目标公司方案/数值","国内标杆方案/数值","全球标杆方案/数值","单位","相对差距（数值/范围）","比较层级","比较口径/软件版本/系统规模","验证性质","分项水位","置信度","数据日期","来源","证据等级","已知结论","缺失字段/无法判断项","投资含义","下一步核验方式","结论改变条件"
"大型逆变器","大型地面电站","最大效率","SG350HX 99.02%","华为 SUN2000-330KTL-H1 ≥99.03%","SMA Sunny Highpower 150-20 99.1%","%","目标比华为低约0.01个百分点、比SMA低约0.08个百分点","代理比较","阳光/华为为约330-352kVA、800V产品；SMA为150kVA、600V产品，仅作为已主动检索的全球代理，不能严格排名","厂商数据表","接近","中","2026-07-16","阳光SG350HX V17/华为330KTL-H1/SMA SHP-20官方数据表","A","三者公开峰值效率都在约99%档位","年度场站效率、功率/电压差异和软件版本","不能用峰值效率证明阳光技术领先","获取同场站、同直流配置年度发电与损耗","同口径差距持续超过0.3个百分点才改变接近判断"
"大型逆变器","大型地面电站","欧洲效率","SG350HX 98.8%","华为 SUN2000-330KTL-H1 ≥98.8%","SMA Sunny Highpower 150-20 98.8%","%","三者公开值相同","代理比较","同为厂商依据欧洲权重的公开值；SMA功率与电压明显不同，属于全球代理而非严格同类","厂商数据表","接近","中","2026-07-16","阳光SG350HX V17/华为330KTL-H1/SMA SHP-20官方数据表","A","公开加权效率没有显著差异","实际气候、组件、功率电压和场站损耗","性能优势不能从该项推出","同场站年度PR与损耗拆分","重复场站数据出现显著差距才改变"
"大型逆变器","大型地面电站","总谐波失真THD","SG350HX <3%（额定功率）","华为 SUN2000-330KTL-H1 <1%（额定）","SMA Sunny Highpower 150-20 <3%（额定）","%","目标公开上限与SMA相同、比华为宽2个百分点","代理比较","均为厂商额定功率数据表上限；SMA功率与电压不同，测试环境均未公开到可复现","厂商数据表上限","落后","中低","2026-07-16","阳光SG350HX V17/华为330KTL-H1/SMA SHP-20官方数据表","A","阳光公开上限不优于全球代理，并弱于华为公开上限","现场平均THD、测试电网、余量及功率电压差异","提示单项规格压力，不等于现场质量落后","获取IEC报告和同电网现场波形","同口径实测不弱于1%则上调"
"大型逆变器","弱电网大型电站","最低稳定短路比SCR","SG350HX资料称SCR≥1.16可稳定运行","华为该数据表未给同定义最低SCR","SMA储能PCS给>2且<2需特别批准，产品不同","无量纲","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","阳光有公开下限，但竞对同产品同工况缺失","竞对同电网模型、软件版本和现场验收","构网能力仍不能精排","取得同一项目入围方案和验收报告","阳光在同一模型下显著更低且重复验证才上调"
"大型逆变器","弱电网大型电站","无功响应时间","SG350HX资料称<30ms","华为该数据表未给同定义数值","Fluence 150ms为储能系统响应，定义不同","ms","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","阳光公布单项响应","竞对同扰动幅度、带宽与超调","不能把30ms直接写成行业领先","取得同一电网模型的阶跃曲线","同口径响应、超调和稳定性同时占优才上调"
"大型逆变器","大型地面电站","质量功率密度","352kVA/≤116kg≈3.03","330kVA/≤112kg≈2.95","SMA Sunny Highpower 100-20约100kVA/98kg≈1.02；150-20未披露重量","kVA/kg","目标比华为高约2.7%；SMA代理因功率等级不同不计算相对领先","代理比较","使用最大视在功率和整机重量；SMA仅有100kVA型号重量且功率等级明显不同","厂商数据表复算","接近","中低","2026-07-16","阳光SG350HX V17/华为330KTL-H1/SMA SHP-20官方数据表","A/B","目标与华为的重量密度接近；SMA代理不可用于排名","交付重量±8%、温度降额、附件和功率等级边界","小幅工程差异不足以证明壁垒","核对交付BOM和同温度额定功率","同级产品稳定差距超过15%且可靠性不降才上调"
"大型逆变器","大型地面电站","体积功率密度","352/(1.136×0.870×0.361)≈987","330/(1.048×0.753×0.395)≈1058","SMA Sunny Highpower 100-20约100/(0.770×0.830×0.444)≈352；150-20未披露尺寸","kVA/m3","目标比华为低约6.7%；SMA代理因功率等级不同不计算相对领先","代理比较","仅按设备外廓复算，不含维护通道；SMA仅有100kVA型号完整尺寸且功率等级不同","厂商数据表复算","接近","中低","2026-07-16","阳光SG350HX V17/华为330KTL-H1/SMA SHP-20官方数据表","A/B","目标对华为不占优；SMA代理不可用于排名","维护空间、散热、额定温度、附件和功率等级","说明不能用单一密度讲领先","同场站布置图和同温度功率","同级产品完整场站占地与运维显著占优才上调"
"储能系统","海外公用事业大储","系统往返效率RTE","PowerTitan 3.0发布称93.5%；2026欧洲口径称92%","华为/BYD同配置值未取得","Fluence Gridstack Pro >87%设计估计","%","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","阳光PowerTitan3.0发布/欧洲发布/Fluence官方规格","A/B/C","目标宣传值高于Fluence阈值，但同名产品内部也有不同值","AC/DC边界、时长、温度、SOC、倍率与辅助功耗","方向看似占优但不能形成严格领先结论","取得项目验收协议、计量边界和一年运行数据","同边界RTE稳定高2个百分点以上才可判领先"
"储能系统","海外公用事业大储","PCS峰值效率","PowerTitan 3.0 SiC PCS 99.3%","国内同电压同功率值未取得","SMA SCS 4400 UP-S 99.2%官方数据表","%","目标约高0.1个百分点","代理比较","均为SiC储能PCS峰值效率，但单机功率与电压不同","厂商数据表","接近","中低","2026-07-16","阳光PowerTitan3.0发布/SMA SCS UP-S官方数据表","A","PCS峰值处公开第一梯队，差距极小","加权效率、温度与系统RTE","支持器件能力，不足以证明系统优势","同电压同负载效率曲线","加权效率和可靠性同步显著占优才上调"
"储能系统","海外公用事业大储","年度可用率","公司未公开PowerTitan 3.0项目年度实绩","国内标杆同项目值未取得","Fluence Gridstack Pro >97%为设计估计","%","无法严格量化","代理比较","公开资料口径不完全相同，仅保留可核验代理","受控未知","无法判断","低","2026-07-16","公司产品资料/竞对官方资料","A/B/C","竞对只有设计估计，目标缺实绩","计划检修边界、项目年龄和故障等级","没有可用率就不能验证客户收益","取得至少12个月SCADA和SLA结算","目标实绩持续高于合同且不靠高质保成本才上调"
