公司,竞对类型,国家/市场,核心产品,目标客户,收入规模,相关业务收入,毛利率/利润率,市占率/排名,技术/成本/渠道优势,与目标公司差距,对目标公司的威胁,数据日期/报告期,口径,来源,证据等级
紫金矿业,目标公司,中国/A+H,铜金锂锌银钼,冶炼厂交易所工业客户,3490.79亿元,矿山产品收入约1099.78亿元,综合毛利率27.73%；剔除冶炼后矿产品毛利率61.56%,铜全球前四；黄金全球前五,资源获取+工程建设+复杂矿盘活有自身记录；相对竞对优势未验证,基准,商品价格+资本配置+海外运营风险,2025,公司合并口径；能力记录不等于竞争优势,紫金矿业2025年报,A/B
BHP,国外直接/横向,澳大利亚/全球,铜铁矿煤,全球工业客户,512.62亿美元,铜收入225.30亿美元,基础EBITDA率53%；铜EBITDA率59%,FY2025铜产量约200万吨,世界级资产+融资+运营体系,铜规模约为紫金近2倍；黄金敞口小,争夺大型铜矿和人才设备,FY2025,截至2025-06-30,BHP 2025 annual report,A
Freeport-McMoRan,国外直接,美国/全球,铜金,冶炼厂工业客户,未统一摘录,未统一摘录,未统一摘录,全球头部铜企,Grasberg等世界级资产,紫金资产更分散；Freeport单矿规模和品位突出,铜供给和资产竞购；单矿事故也提供反证,2025,公开资料；本版不强行统一财务口径,公司公告及公开资料,B
Newmont,国外直接,美国/全球,黄金及副产铜,黄金市场和工业客户,未统一摘录,黄金核心,黄金副产品口径AISC 1358美元/盎司,2025归属黄金约590万盎司,黄金规模+储量披露+全球运营,黄金产量约为紫金2倍；紫金兼具铜金敞口且黄金增速待同口径验证,黄金资产竞购和投资者资金分流,2025,公司披露口径,Newmont 2025 results,A
洛阳钼业,国内直接/横向,中国/A+H及海外,铜钴钼铌黄金,冶炼厂工业客户,2066.8亿元,铜为核心利润来源,归母净利润203.4亿元,2025铜产量74.11万吨/全球前十,刚果铜钴运营+扩产记录+贸易协同；相对成本水位未核验,铜产量低于紫金但增长快；黄金布局在形成,争夺海外铜金资产和估值,2025,公司披露及年报口径；成本不可硬比,洛阳钼业2025业绩资料,A/B
江西铜业,国内横向,中国/A+H,铜冶炼和资源,工业客户,约5446亿元,资源业务未统一摘录,归母净利润约71亿元,国内大型铜企,冶炼规模+国内渠道,收入更大但自有矿利润占比和净利率低于紫金,原料采购冶炼渠道和国内资源竞争,2025,公开财务汇总；待回查年报,五矿证券财报对比资料,B
山东黄金/招金,国内直接,中国/A+H,黄金,黄金市场,未统一摘录,黄金业务,未统一摘录,国内黄金头部,国内金矿资源+区域运营,紫金海外资产与铜金组合更广,国内优质金矿和黄金估值分流,2025,定性比较；紫金持招金18.2%,各公司年报及紫金2025年报,B
主权基金/资源国国企,潜在竞对,资源国/全球,矿权+国家资本,资源国政府和项目卖方,不适用,不适用,不适用,逐国逐项目判断,本国资源安全+审批或持股影响,紫金需满足本地税收就业持股和采购要求,提高审批交易与税费约束；影响幅度未知,2026,政策与交易机制；不可泛化到所有国家,公开政策和交易条款,B
大型多元矿企加码铜,潜在竞对,全球,铜矿权+建设人才设备,矿权卖方和资源国,不适用,不适用,不适用,按具体交易判断,融资+大型项目运营记录,紫金相对资本强度工期和ROIC未同口径验证,可能抬高矿权设备和人才价格；贡献未量化,2025-2026,公司战略和公开交易,同行年报及公开交易资料,B
黄金中型矿企整合,潜在竞对,非洲/南美/全球,在产金矿和开发项目,矿权卖方和资源国,不适用,不适用,不适用,按具体交易判断,高金价阶段融资和并购活动,紫金需与更多买方争夺资产；支付溢价未知,可能推高交易对价和整合风险,2025-2026,交易事实存在；竞价因果未取得,公开交易公告,B
再生铜/铝替铜,替代方案,全球,二次铜和铝导体,工业客户,不适用,不适用,不适用,不适用,高价时经济性改善,不能完全替代新增原生铜和全部应用,增加供给弹性并压制极端铜价,长期,行业机制,行业公开资料,C
