"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"大型组串式逆变器","N-1","SG250HX；250kVA级1500V组串式逆变器","2019-08官方发布","已规模商业化；已被后续大功率型号迭代","复杂地形大型地面电站","12路MPPT、单串26A、峰值效率99.0%；公司宣传的发电增益来自PVsyst模拟，不是客户实测","型号良率未披露","公司披露曾向拉美大型项目供应3000台以上；客户级长期可用率未取得","逆变器收入未按型号拆分","以SG320/350HX的功率、组串电流、弱网和运维能力为当前代际核验","2026-07-16","阳光电源2019-08-05 SG250HX官方白皮书/2020官方数据表/拉美项目公告","B"
"大型组串式逆变器","当前","SG320/350HX及-20系列；最高352kVA","2022年版本已有数据表；-20系列2025年仍在更新","公司官网在售并用于大型地面电站；单型号出货与良率未披露","1500V大型地面电站","从250kVA提升到最高352kVA；适配更大电流组件；公开资料给出SCR约1.1以上、无功响应约30ms及运维诊断能力","单型号良率、返修率和累计出货未披露","官网在售与项目方案证明已产品化；客户级故障率、同客户复购未取得","逆变器收入未按型号拆分","补同场站年度效率、故障率、运维工时、招标技术分和客户复购","2026-07-16","阳光电源SG320HX/SG350HX官方产品页、数据表及Utility PV Solution","A/B"
"大型组串式逆变器","N+1","SG320/350HX后续大功率组串式型号未知","未披露","受控未知","下一代大型地面电站","公司未公开可核验的下一代型号、参数和发布时间；不能把1+X 2.0模块化产品当作本产品线N+1","未披露","未披露","无","正式发布后按样机、认证、量产、客户验收、复购和单型号收入逐级核验","2026-07-16","已查公司官网、产品页、年报与公开发布","C"
"模块化大型逆变器","N-1","1+X Modular Inverter 1.0；1.1MW单元，1.1-8.8MW功率块","2021-03中国首发；2022-01全球发布","已规模商业化","大型地面电站","逆变器/系统/组件三级模块化；42%更多MPPT为公司口径；模块替换时间称6h降至2h","2022-01公司称已获超500MW订单；良率未披露","公司称已向中国多个电站供货；独立长期可用率未取得","逆变器收入未按型号拆分","用客户级年度可用率验证1.0基线","2026-07-16","阳光电源2022-01-19官方发布","B"
"模块化大型逆变器","当前","1+X 2.0；800kW单元，0.8-9.6MW功率块","2025-04-11","产品已发布；单型号规模交付阶段未知","大型地面电站","单元从1.1MW降至800kW、最多12并联；公司称52摄氏度不降额；更细功率粒度","单型号良率与累计出货未披露","未取得客户验收原文和单型号复购","未按1+X 2.0拆分收入","披露单型号出货、故障率、运维时长与复购","2026-07-16","阳光电源1+X 2.0官方发布/产品页","B"
"模块化大型逆变器","N+1","1+X下一代型号未知","未披露","受控未知","下一代大型电站","可能继续提高模块化、构网和合规能力；属于推断而非路线图","未披露","未披露","无","正式发布后依次记录送样、认证、量产、验收、收入","2026-07-16","已查公司年报、IR、产品与新闻页","C"
"大型储能系统","N-1","PowerTitan 2.0；20英尺5MWh电池+2.5MW PCS","2023-06-14","已商业化","海外公用事业大储","314Ah电芯、PCS内置、液冷；公司称RTE 89.5%、日辅助耗电50kWh","公司称PowerTitan系列至发布时累计合同9GWh；2.0良率未披露","有项目与订单案例；2.0客户长期实绩未完整公开","储能收入未按PowerTitan 2.0拆分","补齐项目级RTE、可用率、质保与复购","2026-07-16","阳光电源PowerTitan 2.0官方发布","B"
"大型储能系统","当前","PowerTitan 3.0；10ft Flex/20ft Class/30ft Plus","2025-06-06全球发布；2026-01-28欧洲发布","公司称可立即商业部署；特定地区交付进度需项目核验","2-12小时公用事业大储与构网","最高684Ah电芯、SiC PCS、平台化配置、BMS 2.0与PowerDoctor；地区配置RTE口径不同","公司称684Ah电芯进入量产；整机良率未披露；2026-07公司估计年内欧洲交付10GWh，属于公司预测","7.5GWh Masdar项目与欧洲交付目标为采用代理；不能确认全部收入已验收","未按3.0单列收入和毛利","交付验收、12个月运行、质保成本、单产品毛利","2026-07-16","阳光电源PowerTitan 3.0官方发布及2026-07-01更新","B"
"大型储能系统","N+1","PowerTitan下一代型号未知","未披露","受控未知","下一代大储","公司未给可核验N+1参数和发布日期","未披露","未披露","无","正式路线图、样机、认证、量产、验收","2026-07-16","已查公司年报、IR、产品与新闻页","C"
"储能PCS","N-1","PowerTitan 2.0内置组串式PCS","2023-06-14","已商业化","20英尺液冷大储","电池簇独立充放电；PCS功率2.5MW/系统，但单模块规格未在发布稿拆分","良率未披露","随PowerTitan 2.0项目采用","收入包含在储能系统","补PCS效率曲线、故障率与替换时长","2026-07-16","PowerTitan 2.0官方发布","B"
"储能PCS","当前","PowerTitan 3.0全液冷SiC PCS；450kW/单元","2025-06-06","产品已发布并称可部署；规模实绩待核","高温和构网大储","SiC、全液冷；公司称峰值效率99.3%、55摄氏度满功率","公司称大规模应用；良率和累计PCS交付未披露","随PowerTitan 3.0订单验证，客户级故障数据未取得","未按PCS单列收入/毛利","同口径加权效率、良率、故障率、质保成本","2026-07-16","PowerTitan 3.0官方发布","B"
"储能PCS","N+1","下一代PCS未知","未披露","受控未知","下一代大储","器件、电压和模块功率路线未公开","未披露","未披露","无","发布、认证、量产、客户验收","2026-07-16","已查公司公开资料","C"
"储能BMS与诊断","N-1","PowerTitan 2.0 BMS、SOC校准与OTA","2023-06-14","随PowerTitan 2.0商业化","大储电池监控、温控、版本升级与运维","发布稿披露AI温控、SOC校准和OTA升级；没有证明其与EMS或交易软件是同一产品","软件缺陷率、误报率和可用性未披露","随PowerTitan 2.0系统采用；独立SLA未取得","软件收入未单列","用客户级SOC误差、误报率、升级失败率和停机验证基线","2026-07-16","PowerTitan 2.0官方发布","B"
"储能BMS与诊断","当前","BMS 2.0与PowerDoctor","2025-06-06","随PowerTitan 3.0发布；地区功能范围未知","电池风险预警和预测运维","公司称可预测30多种故障且准确率超过99%；属于公司测试口径，未取得客户独立验证","软件缺陷率、误报率、漏报率和可用性未披露","未取得客户独立准确率、SLA与续用证据","软件收入及利润未单列","第三方准确率、误报/漏报、SLA、质保损失和续用","2026-07-16","PowerTitan 3.0官方发布","B/C"
"储能BMS与诊断","N+1","下一代BMS与诊断版本未知","未披露","受控未知","下一代储能安全与运维","公司未公开可核验N+1功能与时间","未披露","未披露","无","版本发布、客户盲测、SLA、质保损失和收入","2026-07-16","已查公司公开资料","C"
"储能EMS与交易软件","N-1","PowerTitan 2.0配套EMS；具体版本未知","2023-06-14前后","随系统提供的能力已披露，独立产品形态未知","大储调度与能量管理","公司披露系统具备EMS能力；未找到独立版本、定价与交易优化功能的同口径基线","软件缺陷率和可用性未披露","随系统项目采用；独立客户续约未取得","软件收入未单列","先确认独立产品边界、版本、客户、SLA与定价","2026-07-16","PowerTitan 2.0官方发布及公司产品资料","B/C"
"储能EMS与交易软件","当前","PowerBidder及配套EMS","2025-06-06","随PowerTitan 3.0平台发布；上线地区和付费模式未知","电力交易优化与系统调度","交易优化工具进入平台；不能与BMS 2.0、PowerDoctor合并视为一个不可分割产品","软件缺陷率、预测偏差和可用性未披露","未取得客户节省金额、续约或独立采购证据","软件收入、订阅收入和利润未单列","确认客户节省、交易收益、付费率、续约、SLA和利润贡献","2026-07-16","PowerTitan 3.0官方发布","B/C"
"储能EMS与交易软件","N+1","PowerBidder/EMS下一代版本未知","未披露","受控未知","下一代储能调度与交易","公司未公开可核验N+1功能、发布时间和商业模式","未披露","未披露","无","版本发布、客户A/B测试、付费率、续约和利润","2026-07-16","已查公司公开资料","C"
"AIDC/SST","N-1","阳光自有上一代AIDC/SST产品未找到","未披露","不存在可确认的自有历史代际","AI数据中心供电","传统UPS是外部替代路线，不能当作阳光N-1","未披露","未披露","无","先确认自有型号与客户，若不存在保持未知","2026-07-16","已查年报、IR和产品页","C"
"AIDC/SST","当前","公司披露的AIDC/SST研发与早期验证方向","2025-2026口径","研发到早期验证；具体型号、客户和量产状态未知","中压直连、高密度AI数据中心","减少转换级的方向性方案；客户级效率、冗余和故障数据未披露","未披露量产/良率","未披露可核验客户验收","无可单列收入","正式型号、客户、订单、运行SLA和收入","2026-07-16","公司IR；未取得客户一手证据","B/C"
"AIDC/SST","N+1","AIDC/SST下一代未知","未披露","受控未知","未来AI数据中心供电","公司未公开N+1路线","未披露","未披露","无","发布、送样、认证、量产、验收与收入","2026-07-16","已查公司公开资料","C"
