"技术方向","工作负载/场景","比较指标","目标公司方案/数值","国内标杆方案/数值","全球标杆方案/数值","单位","相对差距（数值/范围）","比较层级","比较口径/软件版本/系统规模","验证性质","分项水位","置信度","数据日期","来源","证据等级","已知结论","缺失字段/无法判断项","投资含义","下一步核验方式","结论改变条件"
"800G可插拔","AI集群scale-out连接","聚合传输速率","800G OSFP112/224产品族","新易盛800G OSFP/QSFP-DD","Coherent 800G DR8","Gb/s","名义速率相同","代理比较","同代可插拔，但接口和距离SKU不同","产品页","接近","中","2026-07-16","中际/新易盛/Coherent官方产品资料","A/B","三家都有800G产品","客户认证、份额、良率","只证明能做同代产品","同一客户采购与验收","份额/良率持续显著领先或落后"
"800G可插拔","AI集群scale-out连接","单光通道速率","800G DR4 OSFP224为4x200G","新易盛同时布局8x100G与200G/lane路线；光迅公开8x100G产品族","Coherent当前公开DR8为8x100G；Lumentum公开800G DR4产品族","Gb/s/lane","中际当前页证明200G/lane产品能力，因DR4/DR8和阶段不同无法精排","代理比较","DR4与DR8不同，不能总排名","产品页","接近","中低","2026-07-16","InnoLight 800G OSFP224；Eoptolink OFC资料；Accelink RTXM600-201；Coherent FTCE4517E1PXM；Lumentum Datacom Transceivers","A/B","中际已进入200G/lane产品供给","量产规模、功耗、误码、客户采用","只证明同代能力，不确认第一梯队或采购优势","客户认证和量产SKU","同场景持续领先一代且获得份额才上调"
"800G可插拔","机柜间/数据中心连接","传输距离","DR4/DR8产品500m；另有FR/LR产品族","新易盛DR/FR/LR多接口","Coherent DR8 500m","m","500m DR场景相同","代理比较","同为500m但DR4/DR8通道不同","产品页/数据表","接近","中","2026-07-16","官方产品资料","A/B","达到主流500m场景","链路余量和客户实测","距离是准入，不是壁垒","同链路预算与BER测试","客户场景不达标则下调"
"800G可插拔","高密度交换机端口","模块最大功耗","2023展示第二代800G<14W；当前800G OSFP224页未给功耗","新易盛2023展示11.2W TFLN及<14W SiPh/EML；光迅当前800G OSFP DR8<16W","Coherent当前800G DR8数据表<17W；Lumentum公开800G DR4产品族但未给同SKU功耗","W","展示原型、当前产品和不同通道方案不可比，无法判断当前相对水位","代理比较","非同一当前SKU；展示与量产数据表混合","受控未知","无法判断","低","2026-07-16","InnoLight OFC2023；Eoptolink OFC2023；Accelink RTXM600-201；Coherent FTCE4517E1PXM；Lumentum Datacom Transceivers","A/B","仅能确认各家均在低功耗方向投入，不能确认中际当前领先或接近","中际当前量产SKU、BER、温区、良率与客户验收","原型值不得写成当前第一梯队","取得当前同SKU客户数据表并同机测试","同SKU功耗低2W以上且BER/可靠性相当才上调"
"800G可插拔","大规模AI网络采购","单位带宽采购成本","大客户ASP和单位Gb/s成交成本未披露","新易盛/光迅同客户成交价未披露","Coherent/Lumentum同客户成交价未披露","元或美元/Gb/s","无法严格量化","代理比较","必须同客户、同距离、同数量、同质保和同时间窗口","受控未知","无法判断","低","2026-07-16","公司与竞对年报、官方产品页；均未提供同项目成交价","A/B/C","公开产品只能证明供给，不能证明采购经济性","逐客户ASP、折扣、质保、功耗和运维成本","无法从总收入或目录价反推客户真实单位带宽成本","客户招标、订单、渠道与TCO数据","同项目单位带宽成本持续更低且份额上升才上调"
"800G可插拔","AI集群scale-out连接","预FEC误码率BER","当前产品页未给数值","新易盛公开页未给同SKU数值","Coherent DR8数据表2.4E-4标准值","比例","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","公司产品宣称符合标准","目标公司测试余量与客户实测","不能判断可靠性水位","客户验收BER与余量","同标准余量持续领先才上调"
"800G可插拔","AI集群scale-out连接","TDECQ","当前产品页未给数值","新易盛同SKU未给","Coherent DR8数据表最大3.4dB","dB","无法严格量化","代理比较","公开产品/阶段口径不完全相同","受控未知","无法判断","低","2026-07-16","公司年报/产品页/竞对官方资料","A/B/C","竞对提供可核验标尺","目标公司OMA/TDECQ与全温分布","不能从毛利推断信号质量","产品数据表与客户抽检","同口径显著更低才上调"
"800G可插拔","数据中心全年运行","工作温度范围","产品页0-70℃；2023低功耗展示0-70℃","新易盛低功耗展示0-70℃","Coherent DR8 0-70℃","℃","公开范围相同","代理比较","同case温度范围，SKU不同","产品页/数据表","接近","中","2026-07-16","官方产品资料","A/B","三者公开温区相同","高温功耗、BER和失效率","温区只是准入项","全温客户测试","高温可靠性差异出现才改变"
"800G可插拔","多供应商网络部署","标准与管理兼容","IEEE 802.3df/ck、OSFP/QSFP-DD、CMIS5.x按SKU覆盖","新易盛OSFP MSA、CMIS5.0+及多接口","Coherent OSFP/IEEE/CMIS","版本/通过","纸面覆盖相近；同交换机互操作不可比","代理比较","公开声明，不是同交换机互操作结果","产品页","无法判断","低","2026-07-16","官方产品资料","A/B","只能确认三者声明覆盖主流标准","同交换机互操作、固件缺陷与客户认证","纸面合规不能证明兼容水位或采购优势","同交换机多厂互通测试","客户认证差异显著才改变"
"1.6T可插拔","下一代AI网络","聚合传输速率","1.6T DR8 OSFP224","新易盛1.6T OSFP","Coherent 1.6T DR8 OSFP","Tb/s","名义速率相同","代理比较","同为1.6T可插拔，具体SKU和阶段不同","产品页/年报","接近","中","2026-07-16","三家公司官方产品资料","A/B","均已形成1.6T产品","量产份额和客户采用","不能仅凭有产品写领先","同客户出货与收入","持续早量产并占份额才上调"
