"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"高速可插拔平台","N-1","400G及以下主力产品","2023及以前","成熟商业化","云数据中心","100G/lane等成熟平台","已规模量产；分型号良率未披露","多代客户采用","收入未按400G拆","作为800G/1.6T接棒基线","2026-07-16","年报/产品页","A/B"
"高速可插拔平台","当前","800G OSFP112/224与QSFP-DD产品族","2024-2026主力","规模商业化","AI scale-out网络","8x100G及4x200G、多距离、多形态","2025总销量含多速率；800G良率未披露","收入与毛利强验证采用；客户名未披露","未按800G拆分","持续验证份额、功耗、良率、复购","2026-07-16","2025年报/产品页","A/B"
"高速可插拔平台","当前","1.6T OSFP224/相关产品","2023原型；2025年报列示产品；2026计划提高交付能力和出货量","产品存在；1.6T专项商业成熟度未知","下一代AI网络","8x200G、500m DR8；早期原型含2km OSFP-XD","公司只披露2026计划提高交付能力和出货量；量产批准、数量与良率未披露","客户、量产批准、实际订单、复购和份额均未知","未按1.6T拆分；不能从公司总收入反推","实际量产数量、客户批准、功耗、良率、收入与复购","2026-07-16","2025年报/产品页；计划不等于实际交付","A/B"
"高速可插拔平台","N+1","3.2T可插拔平台未知","未披露","受控未知","下一代网络","可能向400G/lane演进，属于行业推断","未披露","未披露","无","正式发布、送样、认证、量产、收入","2026-07-16","已查年报/产品页","C"
"硅光平台","N-1","400G/早期800G硅光平台","2023及以前","产品族已列示；专项商业成熟度未知","高速模块","硅光集成逐步进入模块方案","分层良率未披露","硅光SKU客户采用未披露","收入未拆","建立与当前代际的成本/良率基线","2026-07-16","年报/产品资料","B；产品存在不等于采用"
"硅光平台","当前","800G/1.6T硅光产品平台","2025-2026","已产品化；专项商业成熟度未知","AI网络","更高集成和多产品覆盖","晶圆/封装/模块良率未披露","硅光SKU客户采用未披露；整体财务不能替代专项证据","收入/毛利未按平台拆","成本、良率、份额与复购","2026-07-16","2025年报/产品页","B；产品存在不等于采用"
"硅光平台","N+1","更高速硅光平台未知","未披露","受控未知","3.2T及新架构","路线未正式披露","未披露","未披露","无","正式产品与客户认证","2026-07-16","已查公开资料","C"
"线性光学LPO/LRO","N-1","公司自有上一代LPO/LRO产品未找到","未披露","不存在可确认自有历史代际","低功耗AI网络","传统DSP全重定时可插拔仅作外部替代方案，不能冒充公司N-1","未披露","未披露","无","先确认公司自有产品、送样和客户角色","2026-07-16","年报/产品页检索","C"
"线性光学LPO/LRO","当前","公司LPO/LRO开发与选择性产品","2025年报披露","已发布或展会展示/选择性产品；送样、认证、量产和客户部署未知","低功耗AI网络","减少或部分保留DSP","量产与良率未披露","送样、认证和客户部署未披露","未单列","客户、功耗、BER、规模交付","2026-07-16","2025年报","B/C；不由发布推导部署"
"线性光学LPO/LRO","N+1","规模化线性光学版本未知","未披露","受控未知","更高速网络","标准与产品路线未确定","未披露","未披露","无","标准、客户量产与收入","2026-07-16","已查公开资料","C"
"CPO/NPO","N-1","公司自有上一代CPO/NPO产品未找到","未披露","不存在可确认自有历史代际","交换芯片近封装光学","外部CPO原型不能冒充公司N-1","未披露","未披露","无","先确认公司自有产品和角色","2026-07-16","年报/产品页检索","C"
"CPO/NPO","当前","行业从技术突破走向早期商业化；公司具体SKU和阶段未知","2025年报","行业阶段标尺；公司产品、工程与商业阶段未知","未来scale-up/scale-out","光学靠近交换ASIC以降功耗","公司自身产品、量产和良率未披露","客户/收入未披露","无可单列收入","先确认公司SKU、价值链角色、客户、量产与收入","2026-07-16","2025年报；行业阶段不等于公司阶段","B/C"
"CPO/NPO","N+1","下一代CPO/NPO平台未知","未披露","受控未知","更高密度AI网络","未知","未披露","未披露","无","发布、客户、规模、利润","2026-07-16","已查公开资料","C"
