公司,竞对类型,国家或市场,核心产品,2025收入,2025归母净利润,2025经营现金流,主要优势,对摩尔线程威胁,口径,来源,证据等级
摩尔线程,目标公司,中国A股,全功能GPU/MUSA/集群,15.06,-10.01,-29.56,全功能架构和多场景,,公司整体,2025年报,A
寒武纪,国内直接,中国A股,云端AI芯片/板卡,64.97,20.59,-4.98,AI聚焦且已规模盈利,高,公司整体,2025年报,A
海光信息,国内直接/横向,中国A股,CPU/DCU,143.77,25.45,20.97,CPU与DCU系统协同,高,公司收入含CPU,2025年报,A
沐曦股份,国内直接,中国A股,通用GPU/软件栈,16.44,-7.89,-12.6,同路线且收入规模接近,很高,公司整体,2025年报,A
华为昇腾,国内直接,中国,AI芯片/服务器/集群,未单列,未单列,未单列,ICT全栈和客户渠道,很高,非上市主体,公开产品资料,B
NVIDIA,国外直接标杆,全球,GPU/CUDA/网络/系统,FY2026总收入2159亿美元,不横比,不横比,CUDA生态和全球规模,很高,财年和币种不同,公司年报,A
AMD,国外直接标杆,全球,GPU/ROCm/CPU,2025总收入346.39亿美元,不横比,不横比,开放生态和数据中心客户,高,财年和币种不同,公司年报,A
Intel,国外直接/图形横向,全球,CPU/GPU/加速器,不横比,不横比,不横比,服务器渠道和异构平台,中高,公司整体口径不可与摩尔线程横比,公司产品资料,B
壁仞科技,国内直接,中国,通用GPU/加速卡,未公开,未公开,未公开,训练和通用计算路线,不可忽略,未上市，公开数据有限,公司公开资料,B
燧原科技,国内直接,中国,AI训练/推理芯片和系统,未公开,未公开,未公开,数据中心AI聚焦,不可忽略,未上市，公开数据有限,公司公开资料,B
天数智芯,国内直接,中国,通用GPU/加速卡,未公开,未公开,未公开,通用计算和行业客户,不可忽略,未上市，公开数据有限,公司公开资料,B
昆仑芯/阿里平头哥等,国内潜在ASIC,中国云计算/互联网,自研AI专用芯片,未单列,未单列,未单列,掌握内部负载和云客户,中长期高,具体外购替代比例未公开,公司公开资料,B/分析
Google TPU,潜在ASIC,全球云计算,训练/推理ASIC和云服务,未单列,未单列,未单列,掌握工作负载和云平台,中长期高,官方产品存在；国内映射为推演,Google Cloud官方,A/分析
AWS Trainium/Inferentia,潜在ASIC,全球云计算,训练/推理ASIC和云实例,未单列,未单列,未单列,芯片、网络、编译器和云服务协同,中长期高,官方产品存在；国内映射为推演,AWS官方,A/分析
Meta MTIA,潜在ASIC,美国互联网,内部AI工作负载ASIC,未单列,未单列,未单列,稳定巨量自有负载,中长期,公司工程自述,Meta官方工程文章,B/分析
NVIDIA/AMD/Intel图形GPU,图形直接/横向,全球,游戏/创作/工作站GPU,不横比,不横比,不横比,驱动、应用认证和开发者生态,高,摩尔线程未单列图形收入,公司产品资料/摩尔线程年报,A/B
