项目,当前状态,影响方向,机制,谁承担成本,谁受益,时间窗口,来源,证据等级,跟踪方式
总股本/流通股本,"2026-06-02总股本20.73亿股、流通A股15.88亿股、限售流通A股4.86亿股",中性,"决定市值、EPS和流通盘供需",全体股东,"投资者获得更可复算的估值口径",持续,中财网股本结构,C,"用交易所或公司公告复核最新股本"
历史成交和换手样本,"2026-06-25成交量577973手，成交额877814.3万元，换手率3.64%；这是历史事件窗口样本，不代表2026-07-15当前成交",中性偏高波动,"流动性充足，消息和预期变化会较快反映到股价",交易者承担波动,流动性需求者,日度,中财网行情,C,"另取2026-07-15交易所或行情页复核当日成交，不把旧值写成当前"
H股发行,"公司2025-08-25公告筹划H股，2026-04-24更新向港交所递交申请；发行仍需监管审批/备案，具体发行价和规模未最终确定",双刃剑,"国际融资和品牌提升可能支持全球化；但新增股份可能摊薄EPS和ROE",老股东承担摊薄和折价风险,"公司、海外投资者、全球化业务",事件驱动,公司公告,A,"盯发行规模、价格折让、募资用途和ROE"
员工持股计划,"2026-05-29公告口径显示完成买入721.33万股，占总股本0.35%，均价138.61元/股，金额约10亿元",中性偏正面,"二级市场买入减少部分流通供给，并把员工利益和股价表现绑定",员工和股东承担机会成本,"员工、公司长期激励机制",12-24个月,证券时报/公告转述,B/C,"盯锁定期、解锁安排和业绩兑现"
分红,"2025年中期每10股派9.5元、末期每10股派6.9元，合计每股约1.64元；按2026-07-15收盘108.95元粗算股息率约1.51%",小幅正面,"分红提高股东现金回报，但当前估值主要仍由增长决定；股息率是过去分红/当前价格，不保证未来分红",公司现金流,股东,年度/半年度,公司分红公告线索与行情复算,B/C,"用公司权益分派公告复核分红总额和除权日"
董高减持,"2025年部分董事、高管两轮减持合计约75.34万股，占总股本约0.0367%",小幅负面/黄灯,"金额占比小，但会影响市场对管理层信号的感受",二级市场承接方,减持主体,事件,公司公告,A,"继续跟踪是否高位连续减持"
控股股东质押,"东方财富操盘必读/个股日历线索显示2026-06-01有控股股东部分股份解除质押及质押公告；搜索摘要显示曹仁贤自2026-05-28起质押300万股，占其所持比例约0.48%",小幅黄灯待公告原文复核,"质押不是经营风险本身，但股价大幅波动时可能影响市场对控股股东资金压力的感受",控股股东及二级市场投资者,质权人/融资方,事件,东方财富操盘必读/个股日历公司公告待复核,C/待A级复核,"下载并核对2026-06-01质押公告原文"
限售解禁,"东方财富操盘必读线索显示2026-06-01解禁约186.4万股，占总股本约0.09%，股份类型为股权激励一般股份",小幅中性,"解禁规模较小，但会影响短期供给；是否真正卖出要看后续减持公告",二级市场承接方,解禁股东/激励对象,事件,东方财富操盘必读,C,"用公司股本变动公告和后续减持公告复核"
融资融券,"证券时报行情页线索显示2026-06-22前后融资余额约104.41亿元、融券余额约2594.70万元；页面动态数据不稳定",黄灯待权威复核,"融资余额高说明杠杆资金参与较多，财报或公告低于预期时波动可能放大",融资投资者,券商和交易对手,日/周,证券时报行情页待交易所/Wind/Choice复核,C,"下次补交易所两融明细和占流通市值比例"
北向资金/机构持仓,本轮未取得权威可复核明细,待核验,"外资和机构持仓会影响边际买卖力量，但不是基本面本身",交易者,交易对手,日/季,待Wind/Choice/交易所复核,待核验,"补深股通持股、基金季报和前十大流通股东变化"
