公司,竞对类型,国家/市场,核心产品,目标客户,收入规模,相关业务收入,毛利率/利润率,市占率/排名,技术/成本/渠道优势,与目标公司差距,对目标公司的威胁,数据日期/报告期,口径,来源,证据等级
康龙化成,直接/国内,中国/全球,发现/实验室/CMC/临床,全球药企,约141亿元,未同口径拆分,未同口径,无法精确排名,一体化；相对成本未知,规模/化学漏斗不可同口径比较,分散中国供应商订单,2025,公司总口径,2025年报,A
凯莱英,直接/国内,中国/全球,小分子CDMO/新兴业务,创新药企,66.70亿元,小分子47.35亿元,小分子毛利率46.83%,无法精确排名,工艺与商业生产专注,早期入口较窄,争夺商业项目,2025,公司披露,2025年报摘要,A
博腾股份,直接/潜在/国内,中国/全球,API/制剂/新分子,创新药企,收入同比约+14%,未同口径,归母0.96亿元,无法精确排名,灵活制造假设；相对成本未知,收入规模较小；技术不可比,价格敏感项目/第二供应商,2025,公司披露,2025年报,A
昭衍新药,横向/国内,中国,非临床安全评价,中国药企,约16.6亿元,非临床为主,主营毛利率约20.7%,无法精确排名,GLP和本土关系,全球化/化学弱,争Testing预算,2025,公司披露,2025年报,A
Charles River,直接/国外,美国/全球,发现/模型/安全评价,全球药企,40.2亿美元,DSA 24.0亿美元,DSA非GAAP营业率24.2%,无法精确排名,美国监管/毒理/模型,Chemistry覆盖弱,政策下承接美国项目,2025,US GAAP/公司Non-GAAP,公司业绩,A
Lonza,直接/国外,瑞士/全球,全球CDMO/复杂分子,大型药企,65亿瑞郎,CDMO主体,CORE EBITDA率31.6%,无法精确排名,全球商业制造和品牌,早期发现入口弱,抢商业生产和冗余,2025,公司CORE口径,年报,A
Thermo Fisher Patheon,横向/国外,美国/全球,API/制剂/临床供应,大型药企,母公司口径巨大,未充分独立披露,未同口径,无法精确排名,全球站点和渠道,单项透明度低,综合采购/美国本土替代,2025,母公司分部,年报,A/B
Bachem/Corden,直接/国外,欧美,多肽/寡核苷酸CDMO,新分子药企,各自披露,TIDES相关,未同口径,无法精确排名,专门平台/欧美产能,一体化入口与相对技术未知,争TIDES商业客户,2025,各公司口径,Bachem年报/Corden公司披露,A/B
Syngene,潜在/国外,印度/全球,一体化CRDMO,全球药企,FY25收入364.2亿卢比,未同口径,未同口径,无法精确排名,英语人才/非中国地缘；相对成本未知,商业项目深度不可同口径判断,承接新项目第二来源,2025,公司口径,FY25年报,A
客户自建/双供应商,替代方案,全球,内部研发生产/供应冗余,大型药企,不适用,不适用,不适用,不适用,控制IP和供应,固定成本高,收回项目或拆分份额,持续,替代路线,行业采购逻辑,B
