报告期,货币资金,应收账款,应收票据/应收款项融资,存货,合同资产,固定资产,在建工程,有息负债,合同负债,资产负债率,单位,口径,来源,证据等级
2024Q1,157.26,69.69,0.11,50.48,12.50,未披露,未披露,60.35,21.63,25.2%,亿元,CAS期末,2024Q1,A
2024Q2,146.72,76.14,0.25,52.32,12.01,176.22,66.68,60.46,25.23,25.9%,亿元,CAS期末,2024H1,A
2024Q3,140.52,80.15,0.99,53.48,11.35,未披露,未披露,58.88,24.71,25.1%,亿元,CAS期末,2024Q3,A
2024Q4,183.22,79.52,0.93,54.00,9.89,187.84,59.66,44.62,22.51,26.4%,亿元,CAS期末,2024年报,A
2025Q1,248.51,73.18,0.07,64.92,8.76,未披露,未披露,58.04,23.50,25.7%,亿元,CAS期末,2025Q1,A
2025Q2,214.85,70.32,0.14,71.51,8.26,186.72,66.17,69.24,22.27,27.9%,亿元,CAS期末,2025H1,A
2025Q3,294.39,84.40,0.24,78.44,8.19,未披露,未披露,72.61,25.66,24.5%,亿元,CAS期末,2025Q3,A
2025Q4,351.31,72.63,0.19,89.93,4.70,200.00,58.76,79.65,27.09,22.2%,亿元,CAS期末,2025年报,A
2026Q1,359.05,77.01,0.07,99.66,5.28,未披露,未披露,79.61,27.64,21.1%,亿元,CAS期末,2026Q1,A
2026Q2,357.26,104.72,0.09,111.27,5.54,191.87,82.47,81.36,37.54,27.8%,亿元,CAS期末,2026H1,A
