"产品形态","代际角色","产品/代际","发布时间","当前状态","目标场景","核心技术变化","量产/良率","客户验证","收入证据","下一代里程碑","数据日期","来源","证据等级"
"终端IP","N-1/历史","Cambricon-1A/1H/1M","2016年起","历史终端IP产品","手机和终端AI","终端智能处理器IP","纯IP授权不适用晶圆良率；公司称历史集成量超过1亿台","公司年报口径；未取得当前具名终端客户复购","2025年IP及软件收入0.023亿元，已非收入主线","核验历史客户维护、停止维护或重新进入终端市场","2026-07-15","reports/2025_annual.pdf","A中的公司口径"
"终端IP","当前","无法确认当前在售终端IP","截至2026-07-15未取得正式型号","没有足够公开证据确认当前在售型号；不是断言业务已停止","手机和终端AI","无法确认","无法判断；未取得当前产品量产资料","无法判断；未取得当前客户验收与复购","仅有IP及软件汇总小额收入，不能归因到型号","取得当前型号、维护状态、客户、授权量和收入","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"终端IP","N+1","无法确认下一代终端IP","截至2026-07-15未取得路线图","未取得明确下一代型号或研发节点","手机和终端AI","无法确认","无量产/良率证据","无客户验证证据","无可映射收入","正式路线图、型号、样品、客户验证和收入","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料","A+B；受控未知"
"云端芯片","N-1/历史","思元270与思元290","2019-2020年","历史推理/训练芯片代际","视觉、语音、NLP、训练与推理","MLUv02、训练能力和MLU-Link","有历史产品销售线索；量产数量和良率未披露","官网历史案例为公司口径","未单列产品级收入","核验存量客户、维护状态及是否仍对应库存","2026-07-15","寒武纪官网历史产品资料; reports/2025_annual.pdf","B+A中的公司口径"
"云端芯片","当前","思元370；实际销售主力未知","2021-11","官网仍有公开规格；不能确认是2025-2026实际销售主力","训练和推理","MLUarch03、chiplet、多精度计算和MLU-Link","早期销售线索；产品级量产规模和良率未披露","公司披露4模型和8卡自测；非独立客户测试","2025云端收入无法映射到该型号","披露当前销售主力、型号级收入、良率和客户验收","2026-07-15","https://www.cambricon.com/index.php?a=lists&c=index&catid=406&m=content; reports/2025_annual.pdf","B+A"
"云端芯片","N+1","MLU500系列/MLU590软件支持线索","截至2026-07-15可见CNNL 1.23.2文档","只确认软件包支持线索；不等于正式发布、量产或在售","较新MLU平台；具体工作负载未充分披露","CNNL列示支持，同时列出MLU590部分depthwise规模收窄、多项算子NaN/Inf不能与竞品对齐、部分HALF RNN规模计算错误等已知遗留问题","无法判断；无公开量产/良率证据","无法判断；开发文档和已知问题都不等于客户生产验证","未映射2025或2026Q1收入","正式规格、问题修复、发布、送样、认证、量产、客户验收和收入","2026-07-15","https://sdk.cambricon.com/static/independent/CNNL/1.23.2/releasenote/1.23.2/build/html/cnnl.html","B"
"加速板卡","N-1/历史","MLU270-S4/F4","历史官网产品","历史推理板卡","数据中心推理","把思元270、内存和接口集成为可部署板卡","历史产品存在；数量、良率和当前供货状态未披露","历史产品资料；缺当前客户复购","未单列产品级收入","核验维护状态、存量客户和库存映射","2026-07-15","https://www.cambricon.com/index.php?a=lists&c=index&catid=406&m=content; reports/2025_annual.pdf","B+A中的公司口径"
"加速板卡","当前","MLU370-S4/S8/X4/X8；实际销售主力未知","2021-11至2022-03","官网公开多种板卡形态；当前销售、库存和客户占比未知","训练和推理","单芯/双芯、不同容量和MLU-Link配置","早期销售线索；板卡良率和当前供货规模未披露","公司自测及历史客户材料；非独立长期验证","未单列型号级收入","当前供货型号、任务可用容量、良率、客户验收和收入","2026-07-15","https://www.cambricon.com/index.php?a=lists&c=index&catid=406&m=content; reports/2025_annual.pdf","B+A"
"加速板卡","N+1","无法确认下一代板卡型号","截至2026-07-15未取得正式产品页","较新芯片的软件线索不能自动推出板卡已发布","训练和推理","无法确认板卡形态、容量、互联和功耗","无量产/良率证据","无客户验证证据","无可映射收入","正式板卡型号、规格、供货、客户验收和收入","2026-07-15","reports/2025_annual.pdf; 寒武纪官网产品资料; CNNL 1.23.2文档","A+B；受控未知"
"整机服务器","N-1/历史","玄思1000","2020-2021年公开","历史训练整机/服务器产品","训练、推理和混合计算","从板卡扩展到服务器级交付","量产和系统交付数量未披露","官网行业案例为公司口径","未单列整机收入","核验维护状态、存量客户和是否由新服务器替代","2026-07-15","寒武纪官网产品资料; reports/2025_annual.pdf","B+A中的公司口径"
