报告期,单季经营现金流,单季投资现金流,单季筹资现金流,单季资本开支,TTM经营现金流,TTM自由现金流,净利润现金含量,单位,口径,来源,证据等级
2024Q1,22.57,-8.54,-0.43,8.11,126.17,75.59,116.2%,亿元,CAS单季/TTM,2024Q1及历史报告,A
2024Q2,27.09,-11.20,-34.18,7.00,127.55,81.43,117.9%,亿元,CAS差分/TTM,2024H1及历史报告,A
2024Q3,34.13,-12.19,-24.43,9.81,114.49,70.91,148.8%,亿元,CAS差分/TTM,2024Q3及历史报告,A
2024Q4,40.27,-23.24,20.73,15.12,124.07,84.03,138.0%,亿元,CAS年报-Q3/TTM,2024年报,A
2025Q1,31.95,22.00,12.36,7.35,133.45,94.18,87.0%,亿元,CAS单季/TTM,2025Q1及历史报告,A
2025Q2,42.36,-3.90,-61.65,13.67,148.71,102.76,86.6%,亿元,CAS差分/TTM,2025H1及历史报告,A
2025Q3,39.82,-14.05,53.52,14.65,154.40,103.62,113.3%,亿元,CAS差分/TTM,2025Q3及历史报告,A
2025Q4,57.90,-23.50,7.01,19.72,172.03,116.65,81.8%,亿元,CAS年报-Q3/TTM,2025年报,A
2026Q1,35.96,-53.48,-0.75,11.95,176.04,116.05,77.3%,亿元,CAS单季/TTM,2026Q1及历史报告,A
2026Q2,61.03,-55.08,-8.24,17.67,194.71,130.73,94.9%,亿元,CAS差分/TTM,2026H1及历史报告,A
