产品形态,代际角色,产品/代际,发布时间,当前状态,目标场景,核心技术变化,量产/良率,客户验证,收入证据,下一代里程碑,数据日期,来源,证据等级
社交与交易平台,N-1/历史,QQ/微信基础通信与朋友圈,2011-2022,大规模成熟运行,即时通信、社交关系和基础内容分发,从 PC 通信迁移到移动关系链和公众号/朋友圈,服务可用率未公开；已长期大规模运行,用户规模和持续使用已验证,广告和社交增值收入已存在,小程序/视频号/搜索/支付形成交易闭环,2026-08-18,腾讯历年年报,A
社交与交易平台,当前 N,微信小程序/视频号/搜一搜/支付闭环,2023-2026,大规模成熟运行,从内容发现到商户服务和付款,推荐、搜索、商户工具和支付系统组合,服务可用率及跨服务转化未披露,微信 MAU 14.39 亿；商户复购和跨服务转化未单列,营销及金融科技分部有收入但无法归因到单一闭环,在授权和监管边界内接入可执行 Agent,2026-08-18,腾讯 2025 年报和 2026Q2 公告,A
社交与交易平台,当前原型,Xiaowei 微信内智能体,2026Q2,小规模原型测试,在用户授权下跨内容、商户和服务办事,权限、隐私、可靠性和商业模式未披露,未披露,未披露,未披露,需验证任务成功率、用户信任、商户 ROI 和付费,2026-08-18,腾讯 2026Q2 业绩材料,A
社交与交易平台,N+1/下一代,规模化微信内自主智能体,未披露,受控未知,在可审计授权下安全完成跨服务任务,当前无正式路线和工程指标,未披露,未披露,未披露,需验证安全完成率、用户确认负担、付费 cohort 和单位经济,2026-08-18,公司未披露正式路线；仅作核验目标,C
游戏研发运营体系,N-1/历史,2023 长青游戏组合,2023,成熟运行,多品类游戏研发、发行和长线运营,公司定义长青游戏并形成 12 款组合,服务稳定性和单款故障率未披露,多款产品跨年运营,2023 游戏及增值服务收入已披露,扩大组合并验证新品留存,2026-08-18,腾讯 2023/2024 年报,A
游戏研发运营体系,当前 N,2025 全球游戏组合与长线运营体系,2025-2026,成熟运行但内容持续迭代,本土及国际游戏研发、发行、赛事和运营,新老游戏组合及全球工作室协同；AI 辅助具体贡献未拆分,单款服务指标未披露,2025 游戏收入增长约 22%；新游命中率未披露,2025 游戏收入约 2415 亿元；产品级毛利未拆分,新品 90/180 天留存和工作室回报可核验,2026-08-18,腾讯 2025 年报和季度公告,A
游戏研发运营体系,N+1/下一代,下一批长青游戏与 AI 生产工具链,未披露,受控未知,持续补充老游戏衰退并降低生产成本,具体项目、上线时间和 AI 降本未披露,未披露,未披露,未披露,需形成多款商业产品留存、流水和制作效率证据,2026-08-18,公司未披露完整管线；待版号和产品公告,C
支付风控系统,N-1/历史,微信支付基础交易与风控,2013-2023,大规模成熟运行,用户与商户安全完成支付,从社交红包扩展到线上线下商户和金融服务,支付成功率和欺诈损失率未披露,用户和商户规模采用已发生,金融科技收入已披露但支付单独收入未披露,优化风险、资金成本和跨境能力,2026-08-18,腾讯历年年报,A
支付风控系统,当前 N,微信支付优化风控和资金成本体系,2024-2026,大规模成熟运行,高并发支付、商户服务和合规风控,公司称升级风险控制并优化支付资金成本,成功率、损失率和 TPV 未披露,公司称 2026Q2 商业支付量增长,金融科技及企业服务分部收入存在但无法拆分支付贡献,披露同口径 TPV、损失率和商户留存,2026-08-18,腾讯 2024 年报和 2026Q2 公告,A
支付风控系统,N+1/下一代,AI 辅助风控与更深商户服务,未披露,受控未知,降低欺诈和运营成本并提高支付转化,技术路线和合规安排未披露,未披露,未披露,未披露,需验证损失率下降而成功率及商户留存不受损,2026-08-18,公司未披露正式路线,C
云平台,N-1/历史,规模扩张期腾讯云,2018-2022,曾追求收入规模后转向健康增长,通用云、音视频、游戏和政企交付,扩展 IaaS/PaaS 和行业方案,公开 SLA 仅按具体产品；整体利用率未披露,已有大规模企业客户但续费未披露,云收入未单列且利润承压,从规模转向毛利和盈利,2026-08-18,腾讯 2021/2022 年报,A
云平台,当前 N,盈利期腾讯云与 AI 平台,2023-2026,公司称 2025 实现规模化盈利,企业应用、AI 训练/推理和 Agent 部署,加强高质量自研 PaaS、音视频、数据库和模型服务,先进 AI 算力可得量与整体 SLA 未披露,2026Q2 金融科技及企业服务收入增 9%；云续费未披露,云独立收入/利润未披露；公司称已规模化盈利,份额、算力供给和独立利润同步改善,2026-08-18,腾讯 2025 年报和 2026Q2 公告；Omdia,B
云平台,N+1/下一代,Agent 云与多模型企业平台,未披露,受控未知,企业安全部署多模型和自主 Agent,权限、模型路由、单位成本和产品形态未完整披露,未披露,未披露,未披露,需验证企业付费、净留存、SLA 和单位经济,2026-08-18,公司未披露完整路线；待后续公告,C
基础模型,N-1/历史,混元 2 系列,2025,已投入腾讯内部产品和云接口,问答、编码、多模态和企业调用,由早期稠密/混合专家模型演进并服务内部业务,云服务不存在制造良率；推理可用性未完整披露,腾讯内部产品采用；独立同口径评测不足,未单列收入,由 Hy3 提升 Agent 能力和效率,2026-08-18,腾讯 2025 年报及混元官方资料,A
基础模型,当前 N,Hy3,2026-07,正式发布并开源 Apache 2.0,复杂 Agent、编码、办公和工具调用,"295B 总参数、21B 激活、256K 上下文；推理效率提升",公司自测未定义 success rate 高于 99.99%；不等于完整任务成功率,WorkBuddy/CodeBuddy/腾讯文档已接入；OpenRouter token 使用量代理居前三，付费期和用户集中度未知,TokenHub 有公开单价但未披露收入,独立基准和付费留存验证,2026-08-18,腾讯 Hy3 官方发布、2026Q2 业绩材料与 OpenRouter 使用量代理,A/B
基础模型,N+1/下一代,Hy3 后续模型,未披露,受控未知,更低成本的多模态与自主 Agent,参数结构和训练数据未披露,未披露,未披露,未披露,同版本盲测成功任务成本低于两个具名替代方并实现可审计商业收入,2026-08-18,公司未披露；待后续发布,C
广告系统,N-1/历史,传统广告推荐与 2023 生成式广告能力,2023-2025,规模运行,微信广告定向、创意和竞价,由规则/推荐模型逐步加入生成式创意和自动优化,公司未披露系统可用率,营销服务长期运行,2025 营销服务收入 1449.73 亿元,AIM+ 扩大自动化投放闭环,2026-08-18,腾讯年报和广告产品资料,A
