技术方向,是否核心,客户任务/场景,行业评价问题,关键指标,指标定义/单位,为什么重要,测量方法/标准口径,好坏方向与权衡,标尺/基准对象,框架来源,来源等级,小白解释,争议/局限,分析补充/推断,数据日期
社交分发与交易闭环,是,中国移动社交入口,平台是否仍有足够用户规模,月活跃用户数,过去一个月使用产品的去重用户/亿人,没有规模就难形成关系网络和商户供给,同地区同产品边界同活跃定义比较 MAU,越高通常越好但不能代替时长和留存,微信自身历史及中国主要社交/内容应用,腾讯季度公告的运营指标定义,A,有多少人每月至少用过一次,不同平台把应用族和单应用混在一起会失真,仅作为平台规模而非技术先进指标,2026-08-18
社交分发与交易闭环,是,中国移动社交入口,用户是否持续投入时间并留下,使用时长与留存,人均时长及次日/月留存/分钟和比例,关系链只有持续使用才可能形成耐久优势,同一第三方用户面板按同年龄地区和设备比较,越高通常越好但商业化过重会伤体验,微信自身历史及抖音快手等同口径用户面板,作者基于用户持续使用机制设计；待选定具名第三方面板和版本,C,不是装了就算而是每天是否愿意回来,公司未公开且第三方统计方法可能变化,缺失时不得用 MAU 替代,2026-08-18
社交分发与交易闭环,是,微信内容到小程序/支付闭环,内容流量能否转成真实交易且保持稳定,跨服务交易转化率,从内容或搜索进入小程序并完成支付的比例/%,客户价值来自少跳转和更高成交而非单一流量,相同入口和归因窗口做漏斗 A/B 并记录故障率,转化和可用性高更好但隐私及广告负荷受约束,微信自身历史及抖音/淘宝内容交易闭环,作者基于内容到交易漏斗设计；公司未给统一标准,C,看见商品后有多少人真的顺利付款,平台不公开完整漏斗且支付口径敏感,这是闭环优势最关键但当前缺失的验收项,2026-08-18
广告推荐与度量,是,微信广告自动投放,自动化产品是否被广告主采用,自动化投放支出渗透率,经 AIM+ 等自动系统处理的广告支出占比/%,规模采用是产品可用的前提但不证明优于竞对,同一平台按广告支出而非账户数连续比较,渗透越高通常越好但补贴和强制迁移会失真,腾讯 AIM+ 自身历史及竞对自动化产品,腾讯 2026Q1 对 AIM+ 指标的公司定义,A,广告主有多少预算交给系统自动投放,竞对不一定披露同口径且渗透不等于效果,只能证明采用阶段,2026-08-18
广告推荐与度量,是,微信广告自动投放,同样预算是否带来更多客户结果,广告主ROI和预算留存,增量销售或利润/广告投入及次期留存预算/倍数和%,广告主只有赚到更多钱才会持续购买,同库存同人群同归因窗口做增量 A/B 并追踪预算留存,ROI 和留存高更好但归因窗口会显著影响结果,字节巨量引擎/阿里妈妈/快手磁力/Meta Advantage+,作者基于广告主增量回报和复投机制设计；具体行业标准版本待选,C,花同样的钱能不能带来更多生意并继续投,平台自报案例不能代表全量也不能跨平台直比,这是相对竞争优势的核心缺口,2026-08-18
广告推荐与度量,是,微信广告自动投放,平台能否在不伤体验下提高变现,CTR/CVR/eCPM与用户体验,点击率/转化率/千次展示收入及用户时长,平台收入提升若来自过量广告会损伤长期关系链,同库存同人群同加载率比较并同步观察时长和投诉,效果与收入高更好但必须约束加载率,微信自身历史及竞对同类库存,腾讯广告案例与平台实验方法,A/B,广告更有效还要保证用户不厌烦,公司案例仅覆盖部分库存且无完整竞对值,不能用个案 3% CTR 推全平台领先,2026-08-18
游戏研发与长线运营,是,全球游戏组合长线运营,现有产品能否跨年保持大规模付费,长青产品数量与流水寿命,达到公司长青门槛的产品数及高流水持续年数/款和年,持续流水比一次上线峰值更能证明运营能力,同平台同地区按 DAU 和年流水门槛连续追踪,越多越久通常越好但老产品依赖会增加集中风险,腾讯自身历史及网易等组合,腾讯年报对长青游戏的定义,A,有多少款游戏能让玩家多年回来并持续付费,竞对不按腾讯门槛披露且流水与收入不同,可验证商业耐久但不等于技术参数领先,2026-08-18
游戏研发与长线运营,是,新品研发和上线,公司能否持续补充老产品衰退,新游命中率与90/180天留存,达到预设流水/DAU门槛的新游比例及上线后留存/%,内容业务长期价值取决于重复成功而非一款爆款,按立项队列统一门槛统计并追踪同批次留存,命中率和留存高更好但会受品类及发行节奏影响,腾讯自身历史及网易米哈游等新品,作者基于内容业务重复命中和同批用户留存机制设计；非公司统一标准,C,新游戏半年后还有多少人玩以及十款能成几款,外部无法看到完整失败项目和研发投入,缺失时不能用公司总收入替代,2026-08-18
游戏研发与长线运营,是,全球发行和实时运营,跨地区服务是否稳定且内容更新有效,更新频率/稳定性与地区覆盖,重大更新次数/故障率/覆盖市场数,全球化优势要靠稳定服务和本地内容兑现,同一产品按地区记录更新后留存及故障,更新有效和故障低更好但频繁更新可能透支内容,腾讯同款游戏自身历史及国际头部产品,作者基于实时服务稳定性和更新后留存机制设计；具体标准待产品级定义,C,全球玩家能否稳定玩到持续更新的内容,公司未汇总组合级故障和更新效果,目前只有收入与发行范围代理,2026-08-18
支付与金融风控,是,微信支付交易,支付网络是否被用户和商户持续使用,支付金额/笔数与活跃商户,TPV/交易笔数/活跃商户数,规模决定网络价值和收入池但不等于风控领先,同地区同业务边界按季度比较,规模越大通常越好但补贴可提高低质量交易,支付宝/银联/抖音支付及微信自身历史,作者基于支付网络规模和商户持续使用机制设计；公司仅定性披露,C,有多少真实付款和持续收款商户,腾讯不披露 TPV 和活跃商户,只能确认趋势不能排位,2026-08-18
