公司,竞对类型,国家/市场,核心产品,目标客户,收入规模,相关业务收入,毛利率/利润率,市占率/排名,技术/成本/渠道优势,与目标公司差距,对目标公司的威胁,数据日期/报告期,口径,来源,证据等级
华为数字能源,直接竞对/国内外竞对,中国/全球,光伏逆变器、智能组串储能、数字能源平台,大型电站、工商业、户用、数据中心,未上市不披露可比收入,未单独披露,未披露,WoodMac H1 2025 与阳光电源位列全球前二；InfoLink 1Q26 全球 ESS 前五,通信、电力电子、数字化、本地化服务、数据中心客户心智,财务透明度低于上市公司；单体储能收入难核验,最大直接竞争威胁，尤其是逆变器、组串式储能和 AIDC 电力方案,2025H1/2026Q1,第三方排名+未上市公开资料,WoodMac/InfoLink,B/C
SMA Solar,国外竞对/高端竞对,德国/全球,光伏逆变器、储能逆变器,欧洲、美国、大型电站和分布式,2025 年销售约 15.16 亿欧元,公司整体口径,年报显示 2025 年毛利率 8.1%；剔除一次性影响 EBITDA 约 1.066 亿欧元,欧洲本土头部逆变器玩家,欧洲品牌、并网经验、渠道和认证,规模和成本较中国龙头弱，欧洲品牌和认证仍强,欧洲高端市场、本地化认证、地缘政策竞争,2025 年,IFRS 公司整体口径,SMA 2025 Annual Report,A
SolarEdge,国外竞对/户用和工商业,以色列/美国等,优化器、逆变器、储能,欧美户用和商业屋顶,2025 年收入约 11.8 亿美元,逆变器 46.57 万台、优化器 1080 万台、电池 928MWh,GAAP 毛利率 16.6%；GAAP 净亏损约 4.05 亿美元,S&P Tier 1 逆变器供应商,组件级电力电子和渠道,近年受欧美户用需求周期影响大，盈利明显承压,海外分布式市场竞争及价格参照,2025 年,US GAAP 公司整体口径,SolarEdge 2025 业绩公告,A
Enphase,横向竞对/微逆,美国/全球,微型逆变器、户用储能,欧美户用,2025 年收入约 14.73 亿美元,公司整体口径,GAAP 毛利率 46.6%；GAAP 净利润约 1.72 亿美元,S&P Tier 1 逆变器供应商,微逆生态、软件、渠道、美国本土制造,与阳光主战场不同，但在户用预算上构成替代,组件级安全和户用方案替代风险；高毛利可作为分布式标杆,2025 年,US GAAP 公司整体口径,Enphase 2025 业绩公告,A
锦浪科技,直接竞对/国内竞对,中国/全球,组串式逆变器、储能逆变器,分布式、户用、工商业,2025 年收入约 69.52 亿元,并网逆变器 29.96 亿元且毛利率 24.22%；储能逆变器 16.32 亿元且毛利率 31.75%；户用光伏发电系统 14.44 亿元且毛利率 55.77%,公司整体毛利率 34.49%；归母净利润约 7.43 亿元,S&P Tier 1 逆变器供应商,分布式渠道和海外户用积累,体量小于阳光，产品线更聚焦；户用系统毛利高但业务形态不同,分布式和户储渠道竞争，也给阳光形成价格参照,2025 年,2025 年报分产品口径,锦浪科技 2025 年报,A
固德威,直接竞对/国内竞对,中国/全球,组串式逆变器、储能逆变器、户储,户用、工商业、海外分布式,2025 年收入约 88.89 亿元,光伏并网逆变器 25.61 亿元且毛利率 20.21%；光伏储能逆变器 9.56 亿元且毛利率 47.01%；储能电池 15.46 亿元且毛利率 26.26%；户用系统 31.09 亿元且毛利率 10.96%,公司整体毛利率 21.51%；归母净利润约 1.35 亿元,S&P Tier 1 逆变器供应商,分布式、户储和储能电池产品线,储能逆变器毛利较高，但公司整体利润率受户用系统等拖累,海外户储和分布式市场竞争；利润率分化提示产品结构很重要,2025 年,2025 年报收入分解口径,固德威 2025 年报,A
上能电气,直接竞对/国内竞对,中国/全球,集中式/组串式逆变器、储能 PCS,大型地面电站、储能,2025 年收入约 56.30 亿元,光伏逆变器 34.75 亿元且毛利率 22.80%；储能双向变流器及系统集成产品 20.37 亿元且毛利率 23.28%,公司整体毛利率 23.60%；归母净利润约 4.63 亿元,国内大型电站和 PCS 玩家,大型电站和储能 PCS,规模小于阳光，但光伏和储能 PCS/系统均直接相关,国内大基地、储能 PCS 价格竞争,2025 年,2025 年报分行业/产品口径,上能电气 2025 年报,A
科华数据/中车时代电气/特变电工新能源,横向竞对/国内竞对,中国,PCS、UPS、风电变流、逆变器、电力电子,大型电站、央国企项目、工商业、数据中心,科华数据 2025 年收入约 81.60 亿元；其他公司需按分部拆分,科华新能源产品 37.99 亿元且毛利率 17.87%；数据中心产品 22.39 亿元且毛利率 31.97%；智慧电能产品 7.44 亿元且毛利率 39.60%,科华整体毛利率 24.56%；归母净利润约 4.18 亿元,科华年报称获全球储能 PCS（>500kW）出货量第一、BNEF Tier1 储能集成商等认可,央国企客户、工程能力、局部成本优势、数据中心电源经验,与阳光不完全同业，但在 PCS、新能源产品和 AIDC 电源上有横向竞争,国内招标价格、PCS、AIDC 电源和央国企客户竞争,2025 年,科华 2025 年报分行业/产品口径；其他公司需分部专题,科华数据 2025 年报 / 公开招投标,A/C
Tesla Energy,储能直接竞对/国外竞对,美国/全球,Megapack、Powerwall,大型储能、电网侧、工商业、户用,2025 年能源业务收入约 127.71 亿美元,储能部署 46.7GWh,能源业务毛利率 29.8%；毛利约 38.02 亿美元,InfoLink 1Q26 全球 ESS 前五、大储集成商前五,品牌、项目融资、软件、海外交付、北美本土供应链,北美品牌强；中国和中东项目成本竞争有压力,海外大储项目和融资认可竞争,2025 年/2026Q1,SEC 10-K 能源分部口径,Tesla 10-K / Tesla 部署公告 / InfoLink,A/B
Fluence,储能直接竞对/国外竞对,美国/全球,储能系统集成、运营服务、优化软件,大型储能、电网侧、IPP、公用事业,FY2025 收入约 23 亿美元,backlog 约 53 亿美元；ARR 约 1.48 亿美元,GAAP 毛利率约 13.1%；净亏损约 6800 万美元,全球储能系统集成商,海外项目、软件、服务、客户关系,纯集成商利润压力明显，成本优势弱于中国供应链,说明海外大储不是有订单就高利润，阳光也要证明毛利和回款,FY2025,财年截至 2025-09-30,Fluence FY2025 业绩公告,A
