报告期,单季收入,收入同比,收入环比,单季毛利率,单季归母净利润,归母同比,归母环比,扣非归母净利润,期间费用率,研发费用率,单位,口径,来源,证据等级
2024Q1,79.82,-11.0%,不适用,38.1%,19.42,-10.4%,不适用,20.34,8.0%,3.8%,亿元,CAS单季,2024Q1,A
2024Q2,92.59,-6.5%,16.0%,40.4%,22.98,-26.9%,18.3%,23.80,10.4%,3.6%,亿元,CAS单季差分,2024H1-Q1,A
2024Q3,104.61,-2.0%,13.0%,42.8%,22.93,-17.0%,-0.2%,22.68,16.3%,3.0%,亿元,CAS单季差分,2024Q3-H1,A
2024Q4,115.39,6.9%,10.3%,43.5%,29.17,90.6%,27.2%,33.06,6.7%,2.5%,亿元,CAS年报-Q3,2024年报/三季报,A
2025Q1,96.55,21.0%,-16.3%,42.3%,36.72,89.1%,25.9%,23.29,10.9%,2.3%,亿元,CAS单季,2025Q1,A
2025Q2,111.45,20.4%,15.4%,46.3%,48.89,112.8%,33.1%,32.53,11.1%,2.6%,亿元,CAS单季差分,2025H1-Q1,A
2025Q3,120.57,15.3%,8.2%,50.4%,35.15,53.3%,-28.1%,39.40,9.6%,2.6%,亿元,CAS单季差分,2025Q3-H1,A
2025Q4,125.99,9.2%,4.5%,50.3%,70.75,142.5%,101.3%,37.18,12.2%,2.3%,亿元,CAS年报-Q3；归母含处置,2025年报/三季报,A
2026Q1,124.36,28.8%,-1.3%,50.4%,46.52,26.7%,-34.3%,42.76,9.4%,2.1%,亿元,CAS单季,2026Q1,A
2026Q2,164.62,47.7%,32.4%,56.6%,64.29,31.5%,38.2%,62.97,9.3%,2.1%,亿元,CAS单季差分,2026H1-Q1,A
