"技术方向","是否核心","客户任务/场景","行业评价问题","关键指标","指标定义/单位","为什么重要","测量方法/标准口径","好坏方向与权衡","标尺/基准对象","框架来源","来源等级","小白解释","争议/局限","分析补充/推断","数据日期"
"大型逆变器","是","大型地面电站","转换损耗是否足够低","最大效率","最佳工况下交流输出/直流输入；%","影响设备上限但不等于全年发电量","IEC 61683；同直流电压、环境温度和负载点","越高越好；峰值可能牺牲低负载表现","华为 SUN2000-330KTL-H1、同功率等级产品","IEC 61683/厂商数据表","A/B","最好工况下100度电能留下多少","不同功率等级和版本只可代理比较","必须与欧洲效率、可用率一起看","2026-07-16"
"大型逆变器","是","大型地面电站","常见负载下损耗是否足够低","欧洲效率","欧洲负载曲线加权转换效率；%","比单一峰值更接近常见运行","IEC 61683/欧洲权重；同电压与温度","越高越好；仍不等于具体场站年发电","华为 SUN2000-330KTL-H1、同功率等级产品","IEC 61683/厂商数据表","A/B","把多个常见负载点加权后的效率","气候与组件配置不同会改变实际发电","场站P50/P90发电量仍需客户数据","2026-07-16"
"大型逆变器","是","大型地面电站","输出电流是否干净","总谐波失真THD","额定功率下电流谐波占基波比例；%","谐波过大会增加损耗并影响并网验收","IEC 61727/IEEE 1547；同额定功率和电网条件","越低通常越好；需看控制稳定性","华为 SUN2000-330KTL-H1","IEC 61727/厂商数据表","A/B","电流波形离理想正弦波有多远","数据表上限不等于现场平均值","只比较公布的规格上限","2026-07-16"
"大型逆变器","是","弱电网大型电站","弱电网下能否稳定运行","最低稳定短路比SCR","可稳定运行的最小短路容量/装机容量；无量纲","越弱的电网越考验控制算法","同一电网模型、控制版本、故障工况与并机规模","越低通常越强；过度追求响应可能引发振荡","华为、SMA同场景方案","电网仿真+现场验收","A/B","电网很弱时设备还能不能稳住","不同电网模型不可横排","客户现场验收高于发布会自测","2026-07-16"
"大型逆变器","是","弱电网大型电站","电网扰动后能否快速支撑","无功响应时间","指令阶跃到无功达到规定带宽的时间；ms","影响电压支撑和并网要求","同阶跃幅度、带宽、采样率和控制版本","越短通常越好；要与超调和稳定性权衡","华为、SMA同场景方案","电网验收/厂商数据表","A/B","电压波动后多久开始有效纠偏","响应定义常被混用","必须区分无功响应和完整系统响应","2026-07-16"
"大型逆变器","是","大型地面电站","同重量能装多少功率","质量功率密度","额定或规定温度下kVA/设备kg","影响运输、吊装和替换","同温度降额、同是否含配电柜；kVA/kg","越高越轻；要与散热和寿命权衡","华为 SUN2000-330KTL-H1","厂商数据表/复算","A/B","同样一吨设备能承载多少功率","额定与最大功率不能混用","采用30摄氏度最大视在功率作代理","2026-07-16"
"大型逆变器","是","大型地面电站","同体积能装多少功率","体积功率密度","额定或规定温度下kVA/外形体积m3","影响场站占地和维护空间","同温度降额、同外壳边界；kVA/m3","越高越紧凑；要与散热、检修权衡","华为 SUN2000-330KTL-H1","厂商数据表/复算","A/B","同样一立方米能装多少功率","外形体积不含维护通道","只是设备级代理，不是场站级占地","2026-07-16"
"储能系统","是","海外公用事业大储","一次充放电损失多少","系统往返效率RTE","同一系统边界下放电量/充电量；%","直接影响套利收入和所需电池量","同SOC窗口、温度、倍率、循环数、AC或DC边界","越高越好；必须同时满足安全和寿命","Fluence Gridstack Pro、同配置BESS","产品数据表/客户验收","A/B","充进100度电最后能拿回多少","不同配置与系统边界不能直接比","同名产品不同地区宣传值也需核边界","2026-07-16"
"储能系统","是","海外公用事业大储","PCS转换损耗多少","PCS峰值效率","PCS最佳工况交流/直流转换效率；%","影响系统效率但不是系统RTE","同电压、温度、功率点和冷却边界","越高越好；峰值不代表加权效率","SMA Sunny Central Storage UP-S","厂商数据表","A/B","只看储能变流器这一环最好的效率","整机和单PCS边界不同","只能作器件级代理","2026-07-16"
"储能系统","是","海外公用事业大储","系统一年能运行多久","年度可用率","扣除故障停机后可调度小时/计划小时；%","停机直接损失容量费与套利收入","项目级年度运行数据；明确计划检修是否扣除","越高越好；合同口径可能不同","Fluence Gridstack Pro及客户合同","客户验收/数据表","A/B","一年里有多少时间可以接单赚钱","设计估计不等于实绩","需至少12个月客户运行数据","2026-07-16"
"储能系统","是","海外公用事业大储","单位占地能装多少电","占地能量密度","同系统边界可用容量/占地；kWh/m2","土地和电缆成本影响项目回报","同辅助设备、消防间距、维护通道和可用容量边界","越高越省地；要与安全间距和维护权衡","Fluence、Tesla、BYD同系统边界","项目设计/产品资料","B","一平方米能放多少可用电量","设备外形与完整场站面积常混用","公司宣传值不能直接对比竞对外壳值","2026-07-16"
"储能系统","是","海外公用事业大储","多年运行后还剩多少容量","容量保持率","规定年限或循环后可用容量/初始容量；%","决定长期收入和增补电芯成本","同温度、倍率、SOC、循环与质保条款","越高越好；可能靠更窄SOC换取","同电芯和工况竞品质保","客户合同/质保书","A/B","十年后电池还能装多少电","电芯寿命不等于系统质保","必须看质保责任和增补方案","2026-07-16"
"储能系统","是","海外公用事业大储","单体事故会不会蔓延","热失控传播","UL 9540A规定层级下是否蔓延及温压结果","影响人员、保险、停机和许可","UL 9540A；区分电芯、模块、单元和安装级","不传播更好；测试通过不代表零风险","Fluence、Tesla、BYD同层级报告","UL 9540A/当地消防验收","A/B","一块电芯出事会不会烧到旁边","厂商自测和UL层级不能混为一谈","需完整报告而非宣传结论","2026-07-16"
"储能系统","是","海外公用事业大储","系统自己耗多少电","辅助功耗","温控、泵、控制等单位日耗电；kWh/日或额定kW","辅助用电会吃掉客户收益","同温度、运行状态、容量和统计周期","越低越好；过低可能牺牲温控与寿命","Fluence Gridstack Pro同持续时长","产品数据表/现场计量","A/B","储能系统为了活着每天自己吃多少电","峰值负载不能等同日耗电","先保留口径差异","2026-07-16"
