公司,竞对类型,国家/市场,核心产品,目标客户,收入规模,相关业务收入,毛利率/利润率,市占率/排名,技术/成本/渠道优势,与目标公司差距,对目标公司的威胁,数据日期/报告期,口径,来源,证据等级
网易,直接竞对,中国及全球,梦幻西游/逆水寒/蛋仔派对等游戏,玩家和游戏平台,2025 收入 1126 亿元,游戏及相关增值服务 921 亿元,2025 毛利约 724 亿元,"中国游戏第二梯队头部","自研内容、MMO 长线运营和海外发行","游戏相关收入约为腾讯的 38%，但部分品类创新和自研效率强",高：争夺玩家时间、版号、研发人才和海外流水,2025,"IFRS；人民币","网易 2025 年业绩公告",A
字节跳动,直接竞对,中国及全球,抖音/TikTok/豆包/巨量引擎/游戏,用户、广告主、开发者和玩家,私营公司未审计公开完整财报,相关业务收入未公开,未公开,"短视频和效果广告领先平台；AI 入口增长快","短视频推荐、内容供给、广告转化和全球化产品运营","腾讯熟人社交、支付和游戏组合更强；字节内容推荐、创意广告和全球短视频更强",很高：争夺用户时长、广告预算、AI 助手入口和游戏人才,2026-07-23,"私营公司公开资料；多数财务数字不可核验","字节产品与公开信息；不采用媒体未经审计收入估算",B/C
阿里巴巴,横向竞对,中国及全球,淘天/阿里云/支付宝生态/Qwen,商户、消费者、企业和开发者,2026 财年口径需与自然年区分,阿里云最近披露季度收入约 416 亿元、同比增 38%,集团与分部口径不同,"Omdia 2025Q3 中国云份额约 36% 第一","电商交易数据、云规模和 Qwen 开源生态","腾讯社交、游戏和内容分发更强；阿里电商闭环和云明显领先",高：云、广告、支付、小程序和开源 AI 全线重叠,2025Q3-2026,"阿里财年；云收入公司口径；云份额 Omdia","阿里巴巴官方财报；Omdia",A/B
快手,横向竞对,中国及海外,快手/Kling/磁力引擎/电商,用户、广告主、商户和创作者,2025 收入约 1428 亿元,在线营销约 815 亿元,公司披露调整后利润口径,"2025Q4 平均 DAU 约 4.10 亿","下沉市场、直播电商、短视频推荐和 Kling 视频生成","规模和生态广度小于腾讯，但在短视频、电商转化和视频生成更聚焦",中高：争夺视频号时长、直播电商和广告预算,2025,"IFRS 与公司调整口径","快手 2025 年业绩公告",A
华为云,直接竞对,中国,云基础设施/盘古/昇腾/政企交付,政企和开发者,未单列公开云收入,未公开,未公开,"Omdia 2025Q3 中国云份额约 16% 第二","政企渠道、自研算力、软硬协同和本地交付","份额领先腾讯约 7 个百分点；腾讯在消费互联网和微信生态更强",高：先进算力受限环境下威胁腾讯云 AI 交付,2025Q3,"Omdia 中国云基础设施口径","Omdia；华为公开资料",B
百度,潜在竞对,中国,搜索/文心/智能云/萝卜快跑,用户、广告主、企业和开发者,以百度年度财报为准,智能云收入和利润披露口径需单独核验,未统一,"中国 AI 云和搜索头部之一","搜索数据、企业 AI 解决方案和模型先发","腾讯分发和交易闭环更强；百度搜索、自动驾驶及部分政企 AI 更专注",中高：争夺 AI 搜索、企业云和 Agent 入口,2026-07-23,"公开财报与行业份额","百度官方财报；行业机构",A/B
Meta,国外竞对,全球,Facebook/Instagram/WhatsApp/Threads/Advantage+,用户、广告主和开发者,2025 年营收以 Meta 10-K 为准,绝大部分来自广告,高利润平台,"全球社交和数字广告第一梯队","全球社交图谱、广告模型、开源 Llama 和资本开支规模","腾讯在中国支付、小程序和游戏更强；Meta 全球用户和广告覆盖更强",高但地区错位：技术、广告产品和全球开发者生态构成标杆压力,2025,"US GAAP；全球口径","Meta 2025 Form 10-K",A
Microsoft,国外竞对,全球,Azure/Microsoft 365/Copilot/Xbox/Activision,企业、开发者和玩家,以 FY2026 财报为准,Azure 与游戏分部口径需拆分,高利润软件平台,"全球云第二梯队头部、企业软件入口领先","企业分发、Azure、GitHub、OpenAI 合作和游戏 IP","腾讯中国消费入口和手游更强；微软企业软件、云和全球主机生态更强",高：企业 Agent、云和全球游戏内容均构成长线压力,FY2026,"US GAAP；微软财年","Microsoft 官方财报",A
DeepSeek/Qwen 等开源模型,替代方案,中国及全球,可自部署大模型和推理框架,企业和开发者,不适用,不适用,不适用,"模型和 API 可替代腾讯混元的部分能力","低价格、开放权重、可私有化和快速社区迭代","没有微信分发和腾讯业务数据；在基础模型性价比上可能持平或领先",很高：压低 Token 价格并降低模型层切换成本,2026-07-23,"产品与开源许可证口径","各模型官方仓库与技术报告",A/B
独立应用/网站/线下交易,替代方案,全球,自建 App/网页/银行卡和线下渠道,商户、开发者和用户,不适用,不适用,不适用,"不依赖超级应用","控制客户数据、减少平台依赖、满足特定合规","获客和支付闭环成本通常更高，但大商户有能力多渠道经营",中：限制微信生态定价权并推动商户多平台经营,2026-07-23,"商业替代路径","商户公开运营与行业常识；需个案验证",B
